sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,chip_antibody,tissue,supplementary_files_format_and_content,biosample,sra
marmoset_cerebellum_input,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028543,SRX5806020,Marmoset_Cerebellum_Input,GSM3755476,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Cerebellum,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755476,NONE,,GSE130871,0,SRX5806020,none,Cerebellum,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604039,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806020
marmoset_prefrontalcortex_input,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028544,SRX5806021,Marmoset_PrefrontalCortex_Input,GSM3755477,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Prefrontal Cortex,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755477,NONE,,GSE130871,0,SRX5806021,none,Prefrontal Cortex,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604038,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806021
human_cerebellum_h3k27ac_2,ChIP,Homo sapiens,SINGLE,SRA,SRR9028545,SRX5806022,Human_Cerebellum_H3K27ac_2,GSM3755478,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Human Cerebellum,Homo sapiens,9606,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL11154,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755478,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755478/suppl/GSM3755478_Human_Cerebellum_H3K27ac_2_hg38.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755478/suppl/GSM3755478_Human_Cerebellum_H3K27ac_2_peaks.narrowPeak.gz,GSE130871,0,SRX5806022,"anti-H3K27ac (Abcam, catalog#: ab4729)",Cerebellum,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604037,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806022
human_whitematter_rnaseq_1,cDNA,Homo sapiens,SINGLE,SRA,SRR9028546,SRX5806023,Human_WhiteMatter_RNAseq_1,GSM3755479,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Human White Matter,Homo sapiens,9606,total RNA,TruSeq Stranded mRNA Library Preparation (Illumina),GPL18573,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM3755479,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755479/suppl/GSM3755479_Human_WhiteMatter_1_RNAseq.txt.gz,,GSE130871,0,SRX5806023,,White Matter,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604036,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806023
human_whitematter_rnaseq_2,cDNA,Homo sapiens,SINGLE,SRA,SRR9028547,SRX5806024,Human_WhiteMatter_RNAseq_2,GSM3755480,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Human White Matter,Homo sapiens,9606,total RNA,TruSeq Stranded mRNA Library Preparation (Illumina),GPL18573,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM3755480,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755480/suppl/GSM3755480_Human_WhiteMatter_2_RNAseq.txt.gz,,GSE130871,0,SRX5806024,,White Matter,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604035,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806024
chimpanzee_whitematter_rnaseq_1,cDNA,Pan troglodytes,SINGLE,SRA,SRR9028548,SRX5806025,Chimpanzee_WhiteMatter_RNAseq_1,GSM3755481,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Chimpanzee White Matter,Pan troglodytes,9598,total RNA,TruSeq Stranded mRNA Library Preparation (Illumina),GPL21121,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM3755481,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755481/suppl/GSM3755481_Chimpanzee_WhiteMatter_1_RNAseq.txt.gz,,GSE130871,0,SRX5806025,,White Matter,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604034,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806025
chimpanzee_whitematter_rnaseq_2,cDNA,Pan troglodytes,SINGLE,SRA,SRR9028549,SRX5806026,Chimpanzee_WhiteMatter_RNAseq_2,GSM3755482,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Chimpanzee White Matter,Pan troglodytes,9598,total RNA,TruSeq Stranded mRNA Library Preparation (Illumina),GPL21121,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM3755482,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755482/suppl/GSM3755482_Chimpanzee_WhiteMatter_2_RNAseq.txt.gz,,GSE130871,0,SRX5806026,,White Matter,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604033,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806026
macaque_whitematter_rnaseq_1,cDNA,Macaca mulatta,SINGLE,SRA,SRR9028550,SRX5806027,Macaque_WhiteMatter_RNAseq_1,GSM3755483,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Macaque White Matter,Macaca mulatta,9544,total RNA,TruSeq Stranded mRNA Library Preparation (Illumina),GPL21120,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM3755483,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755483/suppl/GSM3755483_Macaque_WhiteMatter_1_RNAseq.txt.gz,,GSE130871,0,SRX5806027,,White Matter,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604029,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806027
macaque_whitematter_rnaseq_2,cDNA,Macaca mulatta,SINGLE,SRA,SRR9028551,SRX5806028,Macaque_WhiteMatter_RNAseq_2,GSM3755484,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Macaque White Matter,Macaca mulatta,9544,total RNA,TruSeq Stranded mRNA Library Preparation (Illumina),GPL21120,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM3755484,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755484/suppl/GSM3755484_Macaque_WhiteMatter_2_RNAseq.txt.gz,,GSE130871,0,SRX5806028,,White Matter,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604031,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806028
marmoset_whitematter_rnaseq_1,cDNA,Callithrix jacchus,SINGLE,SRA,SRR9028552,SRX5806029,Marmoset_WhiteMatter_RNAseq_1,GSM3755485,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset White Matter,Callithrix jacchus,9483,total RNA,TruSeq Stranded mRNA Library Preparation (Illumina),GPL26636,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM3755485,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755485/suppl/GSM3755485_Marmoset_WhiteMatter_1_RNAseq.txt.gz,,GSE130871,0,SRX5806029,,White Matter,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604030,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806029
marmoset_whitematter_rnaseq_2,cDNA,Callithrix jacchus,SINGLE,SRA,SRR9028553,SRX5806030,Marmoset_WhiteMatter_RNAseq_2,GSM3755486,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset White Matter,Callithrix jacchus,9483,total RNA,TruSeq Stranded mRNA Library Preparation (Illumina),GPL26636,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM3755486,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755486/suppl/GSM3755486_Marmoset_WhiteMatter_2_RNAseq.txt.gz,,GSE130871,0,SRX5806030,,White Matter,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604032,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806030
human_whitematter_h3k27ac_1,ChIP,Homo sapiens,SINGLE,SRA,SRR10162190,SRX6887583,Human_WhiteMatter_H3K27ac_1,GSM4089120,Public on Dec 20 2019,Sep 23 2019,Dec 20 2019,SRA,1,Human White Matter,Homo sapiens,9606,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL18573,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4089120,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4089nnn/GSM4089120/suppl/GSM4089120_Human_WhiteMatter_H3K27ac_1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4089nnn/GSM4089120/suppl/GSM4089120_Human_WhiteMatter_H3K27ac_1_peaks.narrowPeak.gz,GSE130871,0,SRX6887583,,Human White Matter,ChIP-seq and ATAC-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac and ATAC bigwig files are in .bw,https://www.ncbi.nlm.nih.gov/biosample/SAMN12818075,https://www.ncbi.nlm.nih.gov/sra?term=SRX6887583
