sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_supplementary_file_3,sample_supplementary_file_4,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,treatment,assembly,supplementary_files_format_and_content,biosample,sra
cna_10xv11_3_v1_1_c3_,,,,,,,CNA 10xv11 3 (v1.1 C3),GSM7102955,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102955,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102955/suppl/GSM7102955_CNA_10xv11_3.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102955/suppl/GSM7102955_CNA_10xv11_3.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102955/suppl/GSM7102955_CNA_10xv11_3.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102955/suppl/GSM7102955_CNA_10xv11_3.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19719513,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819162,https://www.ncbi.nlm.nih.gov/sra?term=SRX19719513
cna_10xv11c_1_v1_1c_c1_,,,,,,,CNA 10xv11c 1 (v1.1c C1),GSM7102956,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102956,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102956/suppl/GSM7102956_CNA_10xv11_4.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102956/suppl/GSM7102956_CNA_10xv11_4.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102956/suppl/GSM7102956_CNA_10xv11_4.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102956/suppl/GSM7102956_CNA_10xv11_4.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19719514,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819161,https://www.ncbi.nlm.nih.gov/sra?term=SRX19719514
cna_10xv11c_2_v1_1c_c2_,,,,,,,CNA 10xv11c 2 (v1.1c C2),GSM7102957,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102957,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102957/suppl/GSM7102957_CNA_10xv11_5.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102957/suppl/GSM7102957_CNA_10xv11_5.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102957/suppl/GSM7102957_CNA_10xv11_5.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102957/suppl/GSM7102957_CNA_10xv11_5.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19719515,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819160,https://www.ncbi.nlm.nih.gov/sra?term=SRX19719515
sta_10xv11_1_v1_1_st1_,,,,,,,STA 10xv11 1 (v1.1 St1),GSM7102958,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL21697,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,NextSeq 550,other,genomic,ATAC-seq,GSM7102958,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102958/suppl/GSM7102958_STA_10xv11_1.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102958/suppl/GSM7102958_STA_10xv11_1.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102958/suppl/GSM7102958_STA_10xv11_1.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102958/suppl/GSM7102958_STA_10xv11_1.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19719516,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819159,https://www.ncbi.nlm.nih.gov/sra?term=SRX19719516
sta_10xv11_2_v1_1_st2_,,,,,,,STA 10xv11 2 (v1.1 St2),GSM7102959,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL21697,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,NextSeq 550,other,genomic,ATAC-seq,GSM7102959,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102959/suppl/GSM7102959_STA_10xv11_2.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102959/suppl/GSM7102959_STA_10xv11_2.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102959/suppl/GSM7102959_STA_10xv11_2.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102959/suppl/GSM7102959_STA_10xv11_2.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19719517,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819158,https://www.ncbi.nlm.nih.gov/sra?term=SRX19719517
txg_10xv11_1_v1_1_t1_,,,,,,,TXG 10xv11 1 (v1.1 T1),GSM7102960,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102960,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102960/suppl/GSM7102960_TXG_10xv11_1.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102960/suppl/GSM7102960_TXG_10xv11_1.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102960/suppl/GSM7102960_TXG_10xv11_1.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102960/suppl/GSM7102960_TXG_10xv11_1.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19719518,PBMC,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819157,https://www.ncbi.nlm.nih.gov/sra?term=SRX19719518
bio_ddseq_1_ddseq_bi1_,,,,,,,BIO ddseq 1 (ddSEQ Bi1),GSM7102961,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,"Cryopreserved PBMC cells were quickly thawed in a 37  °C water bath, rinsed with culture medium (RPMI medium supplemented with 15% FBS) and then treated with 0.2 U μl−1 DNase I (Thermo Fisher Scientific) in 5 mL of culture medium at 37 °C for 30 min. After DNase I treatment, cells were washed once with medium and then twice with ice-cold 1× PBS with 0.1% BSA. Cells were then filtered with a 35-μm cell strainer (Corning) and cell viability and concentration were measured with Trypan blue on the T ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102961,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102961/suppl/GSM7102961_BIO_ddseq_1.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102961/suppl/GSM7102961_BIO_ddseq_1.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102961/suppl/GSM7102961_BIO_ddseq_1.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102961/suppl/GSM7102961_BIO_ddseq_1.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19720153,PBMC,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819800,https://www.ncbi.nlm.nih.gov/sra?term=SRX19720153
bio_ddseq_2_ddseq_bi2_,,,,,,,BIO ddseq 2 (ddSEQ Bi2),GSM7102962,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,"Cryopreserved PBMC cells were quickly thawed in a 37  °C water bath, rinsed with culture medium (RPMI medium supplemented with 15% FBS) and then treated with 0.2 U μl−1 DNase I (Thermo Fisher Scientific) in 5 mL of culture medium at 37 °C for 30 min. After DNase I treatment, cells were washed once with medium and then twice with ice-cold 1× PBS with 0.1% BSA. Cells were then filtered with a 35-μm cell strainer (Corning) and cell viability and concentration were measured with Trypan blue on the T ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102962,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102962/suppl/GSM7102962_BIO_ddseq_2.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102962/suppl/GSM7102962_BIO_ddseq_2.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102962/suppl/GSM7102962_BIO_ddseq_2.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102962/suppl/GSM7102962_BIO_ddseq_2.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19720154,PBMC,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819799,https://www.ncbi.nlm.nih.gov/sra?term=SRX19720154
bio_ddseq_3_ddseq_bi3_,,,,,,,BIO ddseq 3 (ddSEQ Bi3),GSM7102963,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,"Cryopreserved PBMC cells were quickly thawed in a 37  °C water bath, rinsed with culture medium (RPMI medium supplemented with 15% FBS) and then treated with 0.2 U μl−1 DNase I (Thermo Fisher Scientific) in 5 mL of culture medium at 37 °C for 30 min. After DNase I treatment, cells were washed once with medium and then twice with ice-cold 1× PBS with 0.1% BSA. Cells were then filtered with a 35-μm cell strainer (Corning) and cell viability and concentration were measured with Trypan blue on the T ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL18573,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7102963,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102963/suppl/GSM7102963_BIO_ddseq_3.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102963/suppl/GSM7102963_BIO_ddseq_3.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102963/suppl/GSM7102963_BIO_ddseq_3.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102963/suppl/GSM7102963_BIO_ddseq_3.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19720155,PBMC,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819798,https://www.ncbi.nlm.nih.gov/sra?term=SRX19720155
bio_ddseq_4_ddseq_bi4_,,,,,,,BIO ddseq 4 (ddSEQ Bi4),GSM7102964,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,"Cryopreserved PBMC cells were quickly thawed in a 37  °C water bath, rinsed with culture medium (RPMI medium supplemented with 15% FBS) and then treated with 0.2 U μl−1 DNase I (Thermo Fisher Scientific) in 5 mL of culture medium at 37 °C for 30 min. After DNase I treatment, cells were washed once with medium and then twice with ice-cold 1× PBS with 0.1% BSA. Cells were then filtered with a 35-μm cell strainer (Corning) and cell viability and concentration were measured with Trypan blue on the T ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL18573,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7102964,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102964/suppl/GSM7102964_BIO_ddseq_4.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102964/suppl/GSM7102964_BIO_ddseq_4.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102964/suppl/GSM7102964_BIO_ddseq_4.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102964/suppl/GSM7102964_BIO_ddseq_4.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19720156,PBMC,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819797,https://www.ncbi.nlm.nih.gov/sra?term=SRX19720156
