sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,age,sex,genome_build,supplementary_files_format_and_content,biosample,sra
064_coronary_artery_bulk_atac,,,,,,,064 Coronary artery bulk ATAC,GSM5681659,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,064_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681659,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681659/suppl/GSM5681659_UVA064_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058910,Coronary artery (LAD),71,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985831,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058910
027_coronary_artery_bulk_atac,,,,,,,027 Coronary artery bulk ATAC,GSM5681660,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,027_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681660,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681660/suppl/GSM5681660_UVA027_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058911,Coronary artery (LAD),57,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985830,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058911
045_coronary_artery_bulk_atac,,,,,,,045 Coronary artery bulk ATAC,GSM5681661,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,045_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681661,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681661/suppl/GSM5681661_UVA045_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058912,Coronary artery (LAD),49,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985829,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058912
023_coronary_artery_bulk_atac,,,,,,,023 Coronary artery bulk ATAC,GSM5681662,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,023_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681662,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681662/suppl/GSM5681662_UVA023_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058913,Coronary artery (LAD),68,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985828,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058913
014_coronary_artery_bulk_atac,,,,,,,014 Coronary artery bulk ATAC,GSM5681663,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,014_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681663,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681663/suppl/GSM5681663_UVA014_CA_ATAC_2_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058914,Coronary artery (LAD),49,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985827,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058914
020_coronary_artery_bulk_atac,,,,,,,020 Coronary artery bulk ATAC,GSM5681664,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,020_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681664,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681664/suppl/GSM5681664_UVA020_CA_ATAC_2_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058915,Coronary artery (LAD),49,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985826,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058915
057_coronary_artery_bulk_atac,,,,,,,057 Coronary artery bulk ATAC,GSM5681665,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,057_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681665,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681665/suppl/GSM5681665_UVA057_CA_ATAC_3_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058916,Coronary artery (LAD),43,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985825,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058916
040_coronary_artery_bulk_atac,,,,,,,040 Coronary artery bulk ATAC,GSM5681666,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,040_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681666,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681666/suppl/GSM5681666_UVA040_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058917,Coronary artery (RCA),30,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985824,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058917
030_coronary_artery_bulk_atac,,,,,,,030 Coronary artery bulk ATAC,GSM5681667,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,030_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681667,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681667/suppl/GSM5681667_UVA030_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058918,Coronary artery (RCA),63,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985823,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058918
046_coronary_artery_bulk_atac,,,,,,,046 Coronary artery bulk ATAC,GSM5681668,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,046_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681668,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681668/suppl/GSM5681668_UVA046_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058919,Coronary artery (LAD),54,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985822,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058919
058_coronary_artery_bulk_atac,,,,,,,058 Coronary artery bulk ATAC,GSM5681669,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,058_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681669,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681669/suppl/GSM5681669_UVA058_CA_ATAC_1_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058920,Coronary artery (RCA),54,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985821,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058920
050_coronary_artery_bulk_atac,,,,,,,050 Coronary artery bulk ATAC,GSM5681670,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,050_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681670,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681670/suppl/GSM5681670_UVA050_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058921,Coronary artery (RCA),60,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985820,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058921
053_coronary_artery_bulk_atac,,,,,,,053 Coronary artery bulk ATAC,GSM5681671,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,053_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681671,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681671/suppl/GSM5681671_UVA053_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058922,Coronary artery (LAD),62,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985819,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058922
080_coronary_artery_bulk_atac,,,,,,,080 Coronary artery bulk ATAC,GSM5681672,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,080_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681672,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681672/suppl/GSM5681672_UVA080_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058923,Coronary artery (LAD),58,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985818,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058923
015_coronary_artery_bulk_atac,,,,,,,015 Coronary artery bulk ATAC,GSM5681673,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,015_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681673,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681673/suppl/GSM5681673_UVA015_CA_ATAC_2_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058924,Coronary artery (RCA),58,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985817,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058924
036_coronary_artery_bulk_atac,,,,,,,036 Coronary artery bulk ATAC,GSM5681674,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,036_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681674,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681674/suppl/GSM5681674_UVA036_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058925,Coronary artery (LAD),21,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985816,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058925
069_coronary_artery_bulk_atac,,,,,,,069 Coronary artery bulk ATAC,GSM5681675,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,069_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681675,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681675/suppl/GSM5681675_UVA069_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058926,Coronary artery (LAD),66,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985815,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058926
094_coronary_artery_bulk_atac,,,,,,,094 Coronary artery bulk ATAC,GSM5681676,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,094_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681676,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681676/suppl/GSM5681676_UVA094_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058927,Coronary artery (LAD),47,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985814,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058927
112_coronary_artery_bulk_atac,,,,,,,112 Coronary artery bulk ATAC,GSM5681677,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,112_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681677,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681677/suppl/GSM5681677_UVA112_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058928,Coronary artery (RCA),35,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985813,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058928
061_coronary_artery_bulk_atac,,,,,,,061 Coronary artery bulk ATAC,GSM5681678,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,061_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681678,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681678/suppl/GSM5681678_UVA061_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058929,Coronary artery (LAD),32,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985812,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058929
005_coronary_artery_bulk_atac,,,,,,,005 Coronary artery bulk ATAC,GSM5681679,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,005_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681679,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681679/suppl/GSM5681679_UVA005_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058930,Coronary artery (LAD),57,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985811,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058930
054_coronary_artery_bulk_atac,,,,,,,054 Coronary artery bulk ATAC,GSM5681680,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,054_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681680,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681680/suppl/GSM5681680_UVA054_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058931,Coronary artery (LAD),55,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985810,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058931
