sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,donor,days_post_yfv-17d,cell_type,tissue,biosample,sra
yf-m15-640_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839486,SRX3015411,YF-M15-640_Naïve,GSM2710925,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710925,NONE,GSE101609,0,SRX3015411,YF-M15-640,160,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368083,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015411
yf-m15-660_d180_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839487,SRX3015412,YF-M15-660_D180_Naïve,GSM2710926,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710926,NONE,GSE101609,0,SRX3015412,YF-M15-660,180,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368082,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015412
yf-hw-11-066_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839488,SRX3015413,YF-HW-11-066_Naïve,GSM2710927,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710927,NONE,GSE101609,0,SRX3015413,YF-HW-11-066,1277.5,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368081,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015413
yf-x-14-009-002_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839489,SRX3015414,YF-X-14-009-002_Naïve,GSM2710928,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710928,NONE,GSE101609,0,SRX3015414,YF-X-14-009-002,2555,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368080,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015414
yf-ig-e07_tad_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839490,SRX3015415,YF-Ig-E07 (TAD)_Naïve,GSM2710929,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710929,NONE,GSE101609,0,SRX3015415,YF Ig E07 (TAD),3285,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368110,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015415
yf-m15-658_d14_tet,other,Homo sapiens,PAIRED,SRA,SRR5839491,SRX3015416,YF-M15-658_D14_Tet,GSM2710930,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710930,NONE,GSE101609,0,SRX3015416,YF M15 658,14,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368109,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015416
yf-m15-660_d14_tet,other,Homo sapiens,PAIRED,SRA,SRR5839492,SRX3015417,YF-M15-660_D14_Tet,GSM2710931,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710931,NONE,GSE101609,0,SRX3015417,YF M15 660,14,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368108,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015417
yf-m15-677_d14_tet,other,Homo sapiens,PAIRED,SRA,SRR5839493,SRX3015418,YF-M15-677_D14_Tet,GSM2710932,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710932,NONE,GSE101609,0,SRX3015418,YF-M15-677,14,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368107,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015418
yf-m15-678_d21_tet,other,Homo sapiens,PAIRED,SRA,SRR5839494,SRX3015419,YF-M15-678_D21_Tet,GSM2710933,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710933,NONE,GSE101609,0,SRX3015419,YF-M15-678,21,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368106,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015419
yf-m15-679_d21_tet,other,Homo sapiens,PAIRED,SRA,SRR5839495,SRX3015420,YF-M15-679_D21_Tet,GSM2710934,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710934,NONE,GSE101609,0,SRX3015420,YF-M15-679,21,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368105,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015420
yf-m15-653_d28_tet,other,Homo sapiens,PAIRED,SRA,SRR5839496,SRX3015421,YF-M15-653_D28_Tet,GSM2710935,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710935,NONE,GSE101609,0,SRX3015421,YF M15 653,28,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368101,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015421
yf-m15-661_d28_tet,other,Homo sapiens,PAIRED,SRA,SRR5839497,SRX3015422,YF-M15-661_D28_Tet,GSM2710936,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710936,NONE,GSE101609,0,SRX3015422,YF M15 661,28,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368100,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015422
yf-m15-675_d28_tet,other,Homo sapiens,PAIRED,SRA,SRR5839498,SRX3015423,YF-M15-675_D28_Tet,GSM2710937,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710937,NONE,GSE101609,0,SRX3015423,YF-M15 675,28,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368104,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015423
yf-m15-678_d90_tet,other,Homo sapiens,PAIRED,SRA,SRR5839499,SRX3015424,YF-M15-678_D90_Tet,GSM2710938,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710938,NONE,GSE101609,0,SRX3015424,YF-M15-678,90,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368103,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015424
yf-m15-675_d90_tet,other,Homo sapiens,PAIRED,SRA,SRR5839500,SRX3015425,YF-M15-675_D90_Tet,GSM2710939,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710939,NONE,GSE101609,0,SRX3015425,YF-M15-675,90,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368102,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015425
yf-m15-677-d90_tet,other,Homo sapiens,PAIRED,SRA,SRR5839501,SRX3015426,YF-M15-677-D90_Tet,GSM2710940,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710940,NONE,GSE101609,0,SRX3015426,YF-M15-677-D90,90,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368099,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015426
yf-m15-640_d150_tet,other,Homo sapiens,PAIRED,SRA,SRR5839502,SRX3015427,YF-M15-640_D150_Tet,GSM2710941,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710941,NONE,GSE101609,0,SRX3015427,YF-M15-640,150,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368098,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015427
yf-m15-660_d180_tet,other,Homo sapiens,PAIRED,SRA,SRR5839503,SRX3015428,YF-M15-660_D180_Tet,GSM2710942,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710942,NONE,GSE101609,0,SRX3015428,YF-M15-660,180,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368097,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015428
yf-hw-11-066_d1277_5_tet,other,Homo sapiens,PAIRED,SRA,SRR5839504,SRX3015429,YF-HW-11-066_D1277.5_Tet,GSM2710943,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710943,NONE,GSE101609,0,SRX3015429,YF-HW-11-066,1277.5,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368096,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015429
yf-x-14-009-002_d2555_tet,other,Homo sapiens,PAIRED,SRA,SRR5839505,SRX3015430,YF-X-14-009-002_D2555_Tet,GSM2710944,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710944,NONE,GSE101609,0,SRX3015430,YF-X-14-009-002,2555,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368095,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015430
yf-ig-e07_tad_d3285_tet,other,Homo sapiens,PAIRED,SRA,SRR5839506,SRX3015431,YF-Ig-E07(TAD)_D3285_Tet,GSM2710945,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710945,NONE,GSE101609,0,SRX3015431,YF Ig E07 (TAD),3285,sorted A2-NS4B214 tetramer+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368094,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015431
