sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_supplementary_file_1,sample_supplementary_file_2,sample_supplementary_file_3,sample_series_id,sample_data_row_count,big_key,tissue,diagnosis,sample_id,assembly,supplementary_files_format_and_content
atrx-deleted_sample_1_rna-seq_,,,,,,,ATRX-deleted sample 1 (rna-seq),GSM6659424,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,ATRX-deleted sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659424/suppl/GSM6659424_A1_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659424/suppl/GSM6659424_A1_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659424/suppl/GSM6659424_A1_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659424,bone marrow,neuroblastoma,A1,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
atrx-deleted_sample_2_rna-seq_,,,,,,,ATRX-deleted sample 2 (rna-seq),GSM6659425,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,ATRX-deleted sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659425/suppl/GSM6659425_A2_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659425/suppl/GSM6659425_A2_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659425/suppl/GSM6659425_A2_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659425,bone marrow,neuroblastoma,A2,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
sporadic_sample_1_rna-seq_,,,,,,,Sporadic sample 1 (rna-seq),GSM6659426,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Sporadic sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659426/suppl/GSM6659426_S1_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659426/suppl/GSM6659426_S1_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659426/suppl/GSM6659426_S1_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659426,bone marrow,neuroblastoma,S1,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
sporadic_sample_2_rna-seq_,,,,,,,Sporadic sample 2 (rna-seq),GSM6659427,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Sporadic sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659427/suppl/GSM6659427_S2_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659427/suppl/GSM6659427_S2_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659427/suppl/GSM6659427_S2_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659427,bone marrow,neuroblastoma,S2,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
sporadic_sample_3_rna-seq_,,,,,,,Sporadic sample 3 (rna-seq),GSM6659428,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Sporadic sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659428/suppl/GSM6659428_S3_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659428/suppl/GSM6659428_S3_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659428/suppl/GSM6659428_S3_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659428,bone marrow,neuroblastoma,S3,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
sporadic_sample_4_rna-seq_,,,,,,,Sporadic sample 4 (rna-seq),GSM6659429,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Sporadic sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659429/suppl/GSM6659429_S4_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659429/suppl/GSM6659429_S4_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659429/suppl/GSM6659429_S4_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659429,bone marrow,neuroblastoma,S4,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
sporadic_sample_5_rna-seq_,,,,,,,Sporadic sample 5 (rna-seq),GSM6659430,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Sporadic sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659430/suppl/GSM6659430_S5_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659430/suppl/GSM6659430_S5_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659430/suppl/GSM6659430_S5_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659430,bone marrow,neuroblastoma,S5,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
control_sample_1_atac-seq_,,,,,,,Control sample 1 (atac-seq),GSM6659802,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659802/suppl/GSM6659802_C1_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659802,bone marrow,ganglioneuroblastoma,C1,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
control_sample_2_atac-seq_,,,,,,,Control sample 2 (atac-seq),GSM6659803,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659803/suppl/GSM6659803_C2_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659803,bone marrow,ganglioneuroblastoma,C2,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
control_sample_3_atac-seq_,,,,,,,Control sample 3 (atac-seq),GSM6659804,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659804/suppl/GSM6659804_C3_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659804,bone marrow,ganglioneuroma,C3,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
control_sample_4_atac-seq_,,,,,,,Control sample 4 (atac-seq),GSM6659805,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659805/suppl/GSM6659805_C4_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659805,bone marrow,ganglioneuroma,C4,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
control_sample_5_atac-seq_,,,,,,,Control sample 5 (atac-seq),GSM6659806,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659806/suppl/GSM6659806_C5_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659806,bone marrow,ganglioneuroma,C5,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
mycn-amplified_sample_1_atac-seq_,,,,,,,MYCN-amplified sample 1 (atac-seq),GSM6659807,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659807/suppl/GSM6659807_M1_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659807,bone marrow,neuroblastoma,M1,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
mycn-amplified_sample_2a_atac-seq_,,,,,,,MYCN-amplified sample 2a (atac-seq),GSM6659808,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659808/suppl/GSM6659808_M2a_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659808,bone marrow,neuroblastoma,M2a,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
mycn-amplified_sample_3_atac-seq_,,,,,,,MYCN-amplified sample 3 (atac-seq),GSM6659809,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659809/suppl/GSM6659809_M3_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659809,bone marrow,neuroblastoma,M3,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
mycn-amplified_sample_4_atac-seq_,,,,,,,MYCN-amplified sample 4 (atac-seq),GSM6659810,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659810/suppl/GSM6659810_M4_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659810,bone marrow,neuroblastoma,M4,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
atrx-deleted_sample_1_atac-seq_,,,,,,,ATRX-deleted sample 1 (atac-seq),GSM6659811,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,ATRX-deleted sample,1,bone marrow,Homo sapiens,9606,nuclear RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...","10x Genomics, barcodes.tsv, filtered_peak_bc_matrix.h5, matrix.mtx, peaks.bed","Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38), counted using Cell Ranger ATAC v1.0.2 (10x Genomics), and aggregated using Cell Ranger ATAC Aggregator.",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,other,transcriptomic single cell,ATAC-seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659811/suppl/GSM6659811_A1_summary.json.gz,,,"GSE216175, GSE216176",0,GSM6659811,bone marrow,neuroblastoma,A1,GRCh38,bed (called peak locations in browser extensible data format)h5 (filtered peak-barcode matrix in HDF5 format)json (Cell Ranger summary in JavaScript object notation format)mtx (filtered peak-barcode matrix in Matrix Market Exchange format)tsv (barcodes in tab-separated value format)
