sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_line,cell_type,assembly,supplementary_files_format_and_content,biosample,sra
stb-cebpb_cut_tag_rep3,,,,,,,"STB-CEBPB, CUT&TAG, rep3",GSM7882473,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic,OTHER,GSM7882473,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882473/suppl/GSM7882473_CS3_vs_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373899,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107879,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373899
stb-cebpb-igg_cut_tag_control,,,,,,,"STB-CEBPB-IgG, CUT&TAG, control",GSM7882474,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic,OTHER,GSM7882474,NONE,"GSE247035, GSE247038",0,SRX22373900,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107878,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373900
stb-fosl2_cut_tag_rep1,,,,,,,"STB-FOSL2, CUT&TAG, rep1",GSM7882475,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic,OTHER,GSM7882475,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882475/suppl/GSM7882475_SF1_vs_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373901,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107877,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373901
stb-fosl2_cut_tag_rep2,,,,,,,"STB-FOSL2, CUT&TAG, rep2",GSM7882476,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic,OTHER,GSM7882476,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882476/suppl/GSM7882476_SF2_vs_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373902,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107876,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373902
stb-fosl2_cut_tag_rep3,,,,,,,"STB-FOSL2, CUT&TAG, rep3",GSM7882477,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic,OTHER,GSM7882477,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882477/suppl/GSM7882477_SF3_vs_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373903,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107875,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373903
stb-fosl2-igg_cut_tag_control,,,,,,,"STB-FOSL2-IgG, CUT&TAG, control",GSM7882478,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic,OTHER,GSM7882478,NONE,"GSE247035, GSE247038",0,SRX22373904,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107874,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373904
placenta_villi_early_pregnancy_snrna_donor1_8w-rna-1_,,,,,,,"placenta villi, early pregnancy snRNA, donor1 [8w-rna-1]",GSM7882479,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882479,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882479/suppl/GSM7882479_placenta_10X_early1.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374035,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108843,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374035
placenta_villi_early_pregnancy_snrna_donor2_8w-rna-2_,,,,,,,"placenta villi, early pregnancy snRNA, donor2 [8w-rna-2]",GSM7882480,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882480,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882480/suppl/GSM7882480_placenta_10X_early2.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374036,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108842,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374036
placenta_villi_early_pregnancy_snrna_donor3_8w-rna-3_,,,,,,,"placenta villi, early pregnancy snRNA, donor3 [8w-rna-3]",GSM7882481,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882481,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882481/suppl/GSM7882481_placenta_10X_early3.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374039,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108841,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374039
placenta_villi_early_pregnancy_snrna_donor4_8w-rna-4_,,,,,,,"placenta villi, early pregnancy snRNA, donor4 [8w-rna-4]",GSM7882482,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882482,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882482/suppl/GSM7882482_placenta_10X_early4.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374040,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108840,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374040
placenta_villi_early_pregnancy_snrna_donor5_8w-rna-5_,,,,,,,"placenta villi, early pregnancy snRNA, donor5 [8w-rna-5]",GSM7882483,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882483,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882483/suppl/GSM7882483_placenta_10X_early5.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374037,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108839,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374037
placenta_villi_early_pregnancy_snrna_donor6_8w-rna-6_,,,,,,,"placenta villi, early pregnancy snRNA, donor6 [8w-rna-6]",GSM7882484,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882484,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882484/suppl/GSM7882484_placenta_10X_early6.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374038,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108838,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374038
placenta_villi_early_pregnancy_snatac_donor1_8w-atac-1_,,,,,,,"placenta villi, early pregnancy snATAC, donor1 [8w-atac-1]",GSM7882485,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882485,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882485/suppl/GSM7882485_placenta_10X_early1.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374045,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108837,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374045
placenta_villi_early_pregnancy_snatac_donor2_8w-atac-2_,,,,,,,"placenta villi, early pregnancy snATAC, donor2 [8w-atac-2]",GSM7882486,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882486,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882486/suppl/GSM7882486_placenta_10X_early2.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374046,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108836,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374046
