sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,tissue,genotype,treatment,assembly,biosample,sra
snatac-seq_of_homo_sapiens_adult_brain_a46_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: A46 from donor 2,GSM7822146,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A46,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822146,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822146/suppl/GSM7822146_MM_418.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822146/suppl/GSM7822146_MM_418.snap.gz,GSE244618,0,SRX21923564,A46,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594460,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923564
snatac-seq_of_homo_sapiens_adult_brain_a46_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: A46 from donor 4,GSM7822147,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A46,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822147,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822147/suppl/GSM7822147_MM_841.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822147/suppl/GSM7822147_MM_841.snap.gz,GSE244618,0,SRX21923565,A46,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594461,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923565
snatac-seq_of_homo_sapiens_adult_brain_acc_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: ACC from donor 1,GSM7822148,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,ACC,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822148,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822148/suppl/GSM7822148_MM_422.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822148/suppl/GSM7822148_MM_422.snap.gz,GSE244618,0,SRX21923566,ACC,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594462,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923566
snatac-seq_of_homo_sapiens_adult_brain_acc_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: ACC from donor 2,GSM7822149,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,ACC,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822149,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822149/suppl/GSM7822149_MM_424.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822149/suppl/GSM7822149_MM_424.snap.gz,GSE244618,0,SRX21923567,ACC,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594463,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923567
snatac-seq_of_homo_sapiens_adult_brain_acc_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: ACC from donor 4,GSM7822150,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,ACC,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822150,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822150/suppl/GSM7822150_MM_924.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822150/suppl/GSM7822150_MM_924.snap.gz,GSE244618,0,SRX21923568,ACC,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594464,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923568
snatac-seq_of_homo_sapiens_adult_brain_v1c_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: V1C from donor 1,GSM7822151,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,V1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822151,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822151/suppl/GSM7822151_MM_421.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822151/suppl/GSM7822151_MM_421.snap.gz,GSE244618,0,SRX21923569,V1C,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594465,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923569
snatac-seq_of_homo_sapiens_adult_brain_v1c_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: V1C from donor 2,GSM7822152,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,V1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822152,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822152/suppl/GSM7822152_MM_423.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822152/suppl/GSM7822152_MM_423.snap.gz,GSE244618,0,SRX21923570,V1C,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594466,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923570
snatac-seq_of_homo_sapiens_adult_brain_v1c_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: V1C from donor 4,GSM7822153,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,V1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822153,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822153/suppl/GSM7822153_MM_972.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822153/suppl/GSM7822153_MM_972.snap.gz,GSE244618,0,SRX21923572,V1C,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594467,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923572
snatac-seq_of_homo_sapiens_adult_brain_a1c_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: A1C from donor 1,GSM7822154,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822154,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822154/suppl/GSM7822154_MM_452.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822154/suppl/GSM7822154_MM_452.snap.gz,GSE244618,0,SRX21923573,A1C,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594468,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923573
snatac-seq_of_homo_sapiens_adult_brain_a1c_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: A1C from donor 2,GSM7822155,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822155,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822155/suppl/GSM7822155_MM_438.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822155/suppl/GSM7822155_MM_438.snap.gz,GSE244618,0,SRX21923574,A1C,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594469,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923574
snatac-seq_of_homo_sapiens_adult_brain_a1c_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: A1C from donor 4,GSM7822156,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822156,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822156/suppl/GSM7822156_LL_173.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822156/suppl/GSM7822156_LL_173.snap.gz,GSE244618,0,SRX21923575,A1C,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594470,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923575
snatac-seq_of_homo_sapiens_adult_brain_a44-a45_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: A44-A45 from donor 1,GSM7822157,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A44-A45,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822157,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822157/suppl/GSM7822157_XH_496.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822157/suppl/GSM7822157_XH_496.snap.gz,GSE244618,0,SRX21923576,A44-A45,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594471,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923576
snatac-seq_of_homo_sapiens_adult_brain_a44-a45_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: A44-A45 from donor 2,GSM7822158,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A44-A45,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822158,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822158/suppl/GSM7822158_MM_436.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822158/suppl/GSM7822158_MM_436.snap.gz,GSE244618,0,SRX21923577,A44-A45,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594472,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923577
snatac-seq_of_homo_sapiens_adult_brain_a44-a45_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: A44-A45 from donor 4,GSM7822159,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A44-A45,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822159,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822159/suppl/GSM7822159_MM_863.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822159/suppl/GSM7822159_MM_863.snap.gz,GSE244618,0,SRX21923578,A44-A45,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594473,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923578
snatac-seq_of_homo_sapiens_adult_brain_a5-a7_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: A5-A7 from donor 1,GSM7822160,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A5-A7,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822160,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822160/suppl/GSM7822160_MM_448.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822160/suppl/GSM7822160_MM_448.snap.gz,GSE244618,0,SRX21923603,A5-A7,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594474,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923603
