sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_type,age,tissue,library_strategy,genome_build,supplementary_files_format_and_content,biosample,sra
tn5_adult_alpha_tn5_ea28_,other,Homo sapiens,PAIRED,SRA,SRR3337426,SRX1681498,Tn5 adult alpha (Tn5_EA28),GSM1606410,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606410,NONE,GSE79468,0,SRX1681498,alpha,adult,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339199,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681498
tn5_adult_beta_tn5_ea29_,other,Homo sapiens,PAIRED,SRA,SRR3337427,SRX1681499,Tn5 adult beta (Tn5_EA29),GSM1606411,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606411,NONE,GSE79468,0,SRX1681499,beta,adult,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339187,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681499
tn5_juvenile_duct_tn5_ea43_,other,Homo sapiens,PAIRED,SRA,SRR3337428,SRX1681500,Tn5 juvenile duct (Tn5_EA43),GSM1606412,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606412,NONE,GSE79468,0,SRX1681500,duct,juvenile,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339195,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681500
tn5_juvenile_duct_tn5_ea44_,other,Homo sapiens,PAIRED,SRA,SRR3337429,SRX1681501,Tn5 juvenile duct (Tn5_EA44),GSM1606413,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606413,NONE,GSE79468,0,SRX1681501,duct,juvenile,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339190,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681501
h3k4me3_juvenile_endocrine_ea71_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337431,SRX1681503,H3K4me3 juvenile endocrine (EA71),GSM1606416,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606416,NONE,GSE79468,0,SRX1681503,endocrine,juvenile,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339198,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681503
h3k4me3_juvenile_endocrine_ea47_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337432,SRX1681504,H3K4me3 juvenile endocrine (EA47),GSM1606417,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606417,NONE,GSE79468,0,SRX1681504,endocrine,juvenile,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339188,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681504
h3k4me3_adult_endocrine_ea67_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337433,SRX1681505,H3K4me3 adult endocrine (EA67),GSM1606419,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606419,NONE,GSE79468,0,SRX1681505,endocrine,adult,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339166,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681505
h3k4me3_juvenile_duct_ea35_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337434,SRX1681506,H3K4me3 juvenile duct (EA35),GSM1606422,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606422,NONE,GSE79468,0,SRX1681506,duct,juvenile,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339200,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681506
h3k4me3_adult_duct_ea31_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337435,SRX1681507,H3K4me3 adult duct (EA31),GSM1606423,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606423,NONE,GSE79468,0,SRX1681507,duct,adult,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339209,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681507
h3k4me3_juvenile_acinar_ea41_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337436,SRX1681508,H3K4me3 juvenile acinar (EA41),GSM1606424,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606424,NONE,GSE79468,0,SRX1681508,acinar,juvenile,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339174,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681508
h3k4me3_adult_acinar_ea63_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337437,SRX1681509,H3K4me3 adult acinar (EA63),GSM1606425,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606425,NONE,GSE79468,0,SRX1681509,acinar,adult,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339203,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681509
h3k27ac_juvenile_acinar_ea39_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337438,SRX1681510,H3K27ac juvenile acinar (EA39),GSM1606428,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606428,NONE,GSE79468,0,SRX1681510,acinar,juvenile,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339162,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681510
h3k27ac_juvenile_duct_ea33_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337439,SRX1681511,H3K27ac juvenile duct (EA33),GSM1606429,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606429,NONE,GSE79468,0,SRX1681511,duct,juvenile,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339160,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681511
h3k27ac_adult_duct_ea29_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337440,SRX1681512,H3K27ac adult duct (EA29),GSM1606430,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606430,NONE,GSE79468,0,SRX1681512,duct,adult,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339163,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681512
h3k27ac_adult_acinar_ea61_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337441,SRX1681513,H3K27ac adult acinar (EA61),GSM1606431,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606431,NONE,GSE79468,0,SRX1681513,acinar,adult,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339168,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681513
h3k27ac_adult_endocrine_ea65_,ChIP,Homo sapiens,SINGLE,SRA,SRR3337442,SRX1681514,H3K27ac adult endocrine (EA65),GSM1606432,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM1606432,NONE,GSE79468,0,SRX1681514,endocrine,adult,pancreas,,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339208,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681514
ea14,ChIP,Homo sapiens,SINGLE,SRA,SRR7641130,SRX4504637,EA14,GSM3318076,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318076,NONE,GSE79468,0,SRX4504637,endocrine,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762760,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504637
