sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,genome_build,biosample,sra
bm1077-hsc-frozen-160105-11,,,,,,,BM1077-HSC-Frozen-160105-11,GSM2540309,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540309,NONE,"GSE96769, GSE96772",0,SRX2649612,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613498,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649612
bm1077-hsc-frozen-160105-12,,,,,,,BM1077-HSC-Frozen-160105-12,GSM2540310,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540310,NONE,"GSE96769, GSE96772",0,SRX2649613,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613371,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649613
bm1077-hsc-frozen-160105-13,,,,,,,BM1077-HSC-Frozen-160105-13,GSM2540311,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540311,NONE,"GSE96769, GSE96772",0,SRX2649614,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613370,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649614
bm1077-hsc-frozen-160105-14,,,,,,,BM1077-HSC-Frozen-160105-14,GSM2540312,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540312,NONE,"GSE96769, GSE96772",0,SRX2649615,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613369,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649615
bm1077-hsc-frozen-160105-15,,,,,,,BM1077-HSC-Frozen-160105-15,GSM2540313,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540313,NONE,"GSE96769, GSE96772",0,SRX2649616,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613368,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649616
bm1077-hsc-frozen-160105-16,,,,,,,BM1077-HSC-Frozen-160105-16,GSM2540314,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540314,NONE,"GSE96769, GSE96772",0,SRX2649617,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613367,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649617
bm1077-hsc-frozen-160105-17,,,,,,,BM1077-HSC-Frozen-160105-17,GSM2540315,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540315,NONE,"GSE96769, GSE96772",0,SRX2649618,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613366,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649618
bm1077-hsc-frozen-160105-18,,,,,,,BM1077-HSC-Frozen-160105-18,GSM2540316,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540316,NONE,"GSE96769, GSE96772",0,SRX2649619,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613364,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649619
bm1077-hsc-frozen-160105-19,,,,,,,BM1077-HSC-Frozen-160105-19,GSM2540317,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540317,NONE,"GSE96769, GSE96772",0,SRX2649620,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613363,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649620
bm1077-hsc-frozen-160105-20,,,,,,,BM1077-HSC-Frozen-160105-20,GSM2540318,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540318,NONE,"GSE96769, GSE96772",0,SRX2649621,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613362,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649621
bm1077-hsc-frozen-160105-21,,,,,,,BM1077-HSC-Frozen-160105-21,GSM2540319,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540319,NONE,"GSE96769, GSE96772",0,SRX2649622,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613361,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649622
bm1077-hsc-frozen-160105-22,,,,,,,BM1077-HSC-Frozen-160105-22,GSM2540320,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540320,NONE,"GSE96769, GSE96772",0,SRX2649623,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613360,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649623
bm1077-hsc-frozen-160105-23,,,,,,,BM1077-HSC-Frozen-160105-23,GSM2540321,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540321,NONE,"GSE96769, GSE96772",0,SRX2649624,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613359,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649624
bm1077-hsc-frozen-160105-24,,,,,,,BM1077-HSC-Frozen-160105-24,GSM2540322,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540322,NONE,"GSE96769, GSE96772",0,SRX2649625,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613358,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649625
bm1077-hsc-frozen-160105-25,,,,,,,BM1077-HSC-Frozen-160105-25,GSM2540323,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540323,NONE,"GSE96769, GSE96772",0,SRX2649626,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613357,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649626
bm1077-hsc-frozen-160105-26,,,,,,,BM1077-HSC-Frozen-160105-26,GSM2540324,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540324,NONE,"GSE96769, GSE96772",0,SRX2649627,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613356,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649627
bm1077-hsc-frozen-160105-27,,,,,,,BM1077-HSC-Frozen-160105-27,GSM2540325,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540325,NONE,"GSE96769, GSE96772",0,SRX2649628,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613355,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649628
bm1077-hsc-frozen-160105-28,,,,,,,BM1077-HSC-Frozen-160105-28,GSM2540326,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540326,NONE,"GSE96769, GSE96772",0,SRX2649629,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613354,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649629
bm1077-hsc-frozen-160105-29,,,,,,,BM1077-HSC-Frozen-160105-29,GSM2540327,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540327,NONE,"GSE96769, GSE96772",0,SRX2649630,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613353,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649630
bm1077-hsc-frozen-160105-30,,,,,,,BM1077-HSC-Frozen-160105-30,GSM2540328,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540328,NONE,"GSE96769, GSE96772",0,SRX2649631,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613352,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649631
bm1077-hsc-frozen-160105-31,,,,,,,BM1077-HSC-Frozen-160105-31,GSM2540329,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540329,NONE,"GSE96769, GSE96772",0,SRX2649632,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613351,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649632
bm1077-hsc-frozen-160105-32,,,,,,,BM1077-HSC-Frozen-160105-32,GSM2540330,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540330,NONE,"GSE96769, GSE96772",0,SRX2649633,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613350,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649633
bm1077-hsc-frozen-160105-33,,,,,,,BM1077-HSC-Frozen-160105-33,GSM2540331,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540331,NONE,"GSE96769, GSE96772",0,SRX2649634,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613349,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649634
bm1077-hsc-frozen-160105-34,,,,,,,BM1077-HSC-Frozen-160105-34,GSM2540332,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540332,NONE,"GSE96769, GSE96772",0,SRX2649635,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613348,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649635
bm1077-hsc-frozen-160105-35,,,,,,,BM1077-HSC-Frozen-160105-35,GSM2540333,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540333,NONE,"GSE96769, GSE96772",0,SRX2649636,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613345,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649636
bm1077-hsc-frozen-160105-36,,,,,,,BM1077-HSC-Frozen-160105-36,GSM2540334,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540334,NONE,"GSE96769, GSE96772",0,SRX2649637,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613344,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649637
bm1077-hsc-frozen-160105-37,,,,,,,BM1077-HSC-Frozen-160105-37,GSM2540335,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540335,NONE,"GSE96769, GSE96772",0,SRX2649638,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613343,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649638
bm1077-hsc-frozen-160105-38,,,,,,,BM1077-HSC-Frozen-160105-38,GSM2540336,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540336,NONE,"GSE96769, GSE96772",0,SRX2649639,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613342,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649639
bm1077-hsc-frozen-160105-39,,,,,,,BM1077-HSC-Frozen-160105-39,GSM2540337,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540337,NONE,"GSE96769, GSE96772",0,SRX2649640,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613251,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649640
bm1077-hsc-frozen-160105-40,,,,,,,BM1077-HSC-Frozen-160105-40,GSM2540338,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540338,NONE,"GSE96769, GSE96772",0,SRX2649641,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613250,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649641
bm1077-hsc-frozen-160105-41,,,,,,,BM1077-HSC-Frozen-160105-41,GSM2540339,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540339,NONE,"GSE96769, GSE96772",0,SRX2649642,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613347,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649642
