sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,group,brain_region,tissue,age_of_death,sex,assembly,supplementary_files_format_and_content,biosample,sra
bb4_pmc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163181,SRX17174337,BB4_PMC_N_ATAC,GSM6502807,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Motor Cortex,Homo sapiens,9606,genomic DNA,"neuron_PMC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PMC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502807,NONE,"GSE211822, GSE211826",0,SRX17174337,neuron,PMC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444961,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174337
bb6_pac_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163182,SRX17174338,BB6_PAC_G_ATAC,GSM6502808,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Auditory Cortex,Homo sapiens,9606,genomic DNA,"glia_PAC-includes-blacklisted-regions_peaks.narrowPeak, glia_PAC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502808,NONE,"GSE211822, GSE211826",0,SRX17174338,non-neuron,PAC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444962,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174338
bb6_pac_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163183,SRX17174339,BB6_PAC_N_ATAC,GSM6502809,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Auditory Cortex,Homo sapiens,9606,genomic DNA,"neuron_PAC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PAC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502809,NONE,"GSE211822, GSE211826",0,SRX17174339,neuron,PAC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444963,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174339
bb5_vlpfc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163184,SRX17174340,BB5_VLPFC_G_ATAC,GSM6502810,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventrolateral Prefrontal Cortex,Homo sapiens,9606,genomic DNA,"glia_VLPFC-includes-blacklisted-regions_peaks.narrowPeak, glia_VLPFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502810,NONE,"GSE211822, GSE211826",0,SRX17174340,non-neuron,VLPFC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444964,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174340
bb5_vlpfc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163185,SRX17174341,BB5_VLPFC_N_ATAC,GSM6502811,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventrolateral Prefrontal Cortex,Homo sapiens,9606,genomic DNA,"neuron_VLPFC-includes-blacklisted-regions_peaks.narrowPeak, neuron_VLPFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502811,NONE,"GSE211822, GSE211826",0,SRX17174341,neuron,VLPFC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444965,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174341
bb6_pmc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163186,SRX17174342,BB6_PMC_G_ATAC,GSM6502812,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Motor Cortex,Homo sapiens,9606,genomic DNA,"glia_PMC-includes-blacklisted-regions_peaks.narrowPeak, glia_PMC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502812,NONE,"GSE211822, GSE211826",0,SRX17174342,non-neuron,PMC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444966,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174342
bb6_pmc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163187,SRX17174343,BB6_PMC_N_ATAC,GSM6502813,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Motor Cortex,Homo sapiens,9606,genomic DNA,"neuron_PMC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PMC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502813,NONE,"GSE211822, GSE211826",0,SRX17174343,neuron,PMC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444967,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174343
bb5_vta_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163188,SRX17174344,BB5_VTA_G_ATAC,GSM6502814,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventral Tegmental Area,Homo sapiens,9606,genomic DNA,"glia_VTA-includes-blacklisted-regions_peaks.narrowPeak, glia_VTA.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502814,NONE,"GSE211822, GSE211826",0,SRX17174344,non-neuron,VTA,Midbrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444968,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174344
bb5_vta_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163189,SRX17174345,BB5_VTA_N_ATAC,GSM6502815,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventral Tegmental Area,Homo sapiens,9606,genomic DNA,"neuron_VTA-includes-blacklisted-regions_peaks.narrowPeak, neuron_VTA.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502815,NONE,"GSE211822, GSE211826",0,SRX17174345,neuron,VTA,Midbrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444969,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174345
bb5_crblm_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163190,SRX17174346,BB5_CRBLM_G_ATAC,GSM6502816,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Cerebellum,Homo sapiens,9606,genomic DNA,"glia_CRBLM-includes-blacklisted-regions_peaks.narrowPeak, glia_CRBLM.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502816,NONE,"GSE211822, GSE211826",0,SRX17174346,non-neuron,CRBLM,Hindbrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444970,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174346
bb5_crblm_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163191,SRX17174347,BB5_CRBLM_N_ATAC,GSM6502817,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Cerebellum,Homo sapiens,9606,genomic DNA,"neuron_CRBLM-includes-blacklisted-regions_peaks.narrowPeak, neuron_CRBLM.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502817,NONE,"GSE211822, GSE211826",0,SRX17174347,neuron,CRBLM,Hindbrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444971,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174347
bb4_pvc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163192,SRX17174348,BB4_PVC_G_ATAC,GSM6502818,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Visual Cortex,Homo sapiens,9606,genomic DNA,"glia_PVC-includes-blacklisted-regions_peaks.narrowPeak, glia_PVC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502818,NONE,"GSE211822, GSE211826",0,SRX17174348,non-neuron,PVC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444972,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174348
bb4_pvc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163193,SRX17174349,BB4_PVC_N_ATAC,GSM6502819,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Visual Cortex,Homo sapiens,9606,genomic DNA,"neuron_PVC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PVC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502819,NONE,"GSE211822, GSE211826",0,SRX17174349,neuron,PVC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444973,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174349
bb6_psc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163194,SRX17174350,BB6_PSC_G_ATAC,GSM6502820,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Somatosensory Cortex,Homo sapiens,9606,genomic DNA,"glia_PSC-includes-blacklisted-regions_peaks.narrowPeak, glia_PSC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502820,NONE,"GSE211822, GSE211826",0,SRX17174350,non-neuron,PSC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444974,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174350
bb3_vlpfc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163195,SRX17174351,BB3_VLPFC_G_ATAC,GSM6502821,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventrolateral Prefrontal Cortex,Homo sapiens,9606,genomic DNA,"glia_VLPFC-includes-blacklisted-regions_peaks.narrowPeak, glia_VLPFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502821,NONE,"GSE211822, GSE211826",0,SRX17174351,non-neuron,VLPFC,Forebrain,20,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444975,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174351
bb5_ofc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163196,SRX17174352,BB5_OFC_G_ATAC,GSM6502822,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Orbital Frontal Cortex,Homo sapiens,9606,genomic DNA,"glia_OFC-includes-blacklisted-regions_peaks.narrowPeak, glia_OFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502822,NONE,"GSE211822, GSE211826",0,SRX17174352,non-neuron,OFC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444898,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174352
bb5_ofc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163197,SRX17174353,BB5_OFC_N_ATAC,GSM6502823,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Orbital Frontal Cortex,Homo sapiens,9606,genomic DNA,"neuron_OFC-includes-blacklisted-regions_peaks.narrowPeak, neuron_OFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502823,NONE,"GSE211822, GSE211826",0,SRX17174353,neuron,OFC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444900,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174353
bb6_pvc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163198,SRX17174354,BB6_PVC_G_ATAC,GSM6502824,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Visual Cortex,Homo sapiens,9606,genomic DNA,"glia_PVC-includes-blacklisted-regions_peaks.narrowPeak, glia_PVC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502824,NONE,"GSE211822, GSE211826",0,SRX17174354,non-neuron,PVC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444901,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174354
bb6_pvc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163199,SRX17174355,BB6_PVC_N_ATAC,GSM6502825,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Visual Cortex,Homo sapiens,9606,genomic DNA,"neuron_PVC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PVC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502825,NONE,"GSE211822, GSE211826",0,SRX17174355,neuron,PVC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444904,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174355
