sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,chip_antibody,genotype,genome_build,supplementary_files_format_and_content,biosample,sra
pdsn04_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064162,SRX17079318,"PDSN04.RNA, bulk RNA-seq",GSM6459654,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459654,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459654/suppl/GSM6459654_PDSN04.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079318,Substantia nigra,N/A,PDSN04,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319229,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079318
pdsn05_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064163,SRX17079319,"PDSN05.RNA, bulk RNA-seq",GSM6459655,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459655,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459655/suppl/GSM6459655_PDSN05.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079319,Substantia nigra,N/A,PDSN05,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319231,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079319
pdsn06_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064164,SRX17079320,"PDSN06.RNA, bulk RNA-seq",GSM6459656,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459656,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459656/suppl/GSM6459656_PDSN06.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079320,Substantia nigra,N/A,PDSN06,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319233,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079320
pdsn07_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064165,SRX17079321,"PDSN07.RNA, bulk RNA-seq",GSM6459657,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459657,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459657/suppl/GSM6459657_PDSN07.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079321,Substantia nigra,N/A,PDSN07,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319235,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079321
pdsn08_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064166,SRX17079322,"PDSN08.RNA, bulk RNA-seq",GSM6459658,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459658,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459658/suppl/GSM6459658_PDSN08.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079322,Substantia nigra,N/A,PDSN08,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319236,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079322
pdsn09_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064167,SRX17079323,"PDSN09.RNA, bulk RNA-seq",GSM6459659,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459659,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459659/suppl/GSM6459659_PDSN09.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079323,Substantia nigra,N/A,PDSN09,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319238,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079323
nosn01_1_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064168,SRX17079324,"NOSN01_1.H3K27ac, bulk ChIP-seq",GSM6459660,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459660,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459660/suppl/GSM6459660_NOSN01_1.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079324,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN01,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319240,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079324
nosn01_2_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064169,SRX17079325,"NOSN01_2.H3K27ac, bulk ChIP-seq",GSM6459661,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459661,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459661/suppl/GSM6459661_NOSN01_2.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079325,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN01,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319241,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079325
nosn02_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064170,SRX17079326,"NOSN02.H3K27ac, bulk ChIP-seq",GSM6459662,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459662,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459662/suppl/GSM6459662_NOSN02.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079326,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN02,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319243,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079326
nosn03_1_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064171,SRX17079327,"NOSN03_1.H3K27ac, bulk ChIP-seq",GSM6459663,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459663,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459663/suppl/GSM6459663_NOSN03_1.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079327,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN03,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319245,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079327
nosn03_2_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064172,SRX17079328,"NOSN03_2.H3K27ac, bulk ChIP-seq",GSM6459664,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459664,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459664/suppl/GSM6459664_NOSN03_2.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079328,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN03,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319246,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079328
nosn04_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064173,SRX17079329,"NOSN04.H3K27ac, bulk ChIP-seq",GSM6459665,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459665,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459665/suppl/GSM6459665_NOSN04.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079329,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN04,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319248,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079329
nosn05_1_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064174,SRX17079330,"NOSN05_1.H3K27ac, bulk ChIP-seq",GSM6459666,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459666,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459666/suppl/GSM6459666_NOSN05_1.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079330,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN05,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319249,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079330
nosn05_2_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064175,SRX17079331,"NOSN05_2.H3K27ac, bulk ChIP-seq",GSM6459667,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459667,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459667/suppl/GSM6459667_NOSN05_2.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079331,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN05,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319251,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079331
nosn06_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064176,SRX17079332,"NOSN06.H3K27ac, bulk ChIP-seq",GSM6459668,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459668,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459668/suppl/GSM6459668_NOSN06.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079332,Substantia nigra,"H3K27ac (Active Motif, 39133)",NOSN06,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319252,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079332
pdsn01_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064177,SRX17079340,"PDSN01.H3K27ac, bulk ChIP-seq",GSM6459669,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459669,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459669/suppl/GSM6459669_PDSN01.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079340,Substantia nigra,"H3K27ac (Active Motif, 39133)",PDSN01,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319254,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079340
pdsn02_h3k27ac_bulk_chip-seq,ChIP,Homo sapiens,PAIRED,SRA,SRR21064178,SRX17079341,"PDSN02.H3K27ac, bulk ChIP-seq",GSM6459670,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,genomic DNA,"ChIP-seq libraries were prepared manually by conducting DNA end repair (Epicentre, ER0720), adenosine addition at 3’ end (NEB, M0212), ligation of Illumina indexed adaptors (NEB, M2200), and PCR amplification (Thermo Fisher Scientific, F549).","The sequenced DNA reads from ChIP-seq libraries were mapped to human reference genome (hg19) using Burrows-Wheeler aligner (BWA)-mem (ver. 0.7.17, ‘-M’ option)., Reads with a low alignment quality (MAPQ < 10) were removed, and PCR duplicates were discarded using Picard (v2.6.0)., H3K27ac peaks were identified using MACS2 relative to the respective input control based on a significance threshold of P < 1 × 10-5., We defined cis-regulatory elements (cREs) by merging H3K27ac peaks across the sample ...",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,GSM6459670,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459670/suppl/GSM6459670_PDSN02.H3K27ac.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079341,Substantia nigra,"H3K27ac (Active Motif, 39133)",PDSN02,hg19,tab-delimited text files with quantile normalized RPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319255,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079341
