sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,tissue,facs_markers,cell_type,genome_build,supplementary_files_format_and_content,biosample,sra
gcb_cc_1,,,,,,,GCB_CC_1,GSM4826480,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",CC_164_2_2,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826480,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826480/suppl/GSM4826480_Sample_CC_164_2_2.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826480/suppl/GSM4826480_Sample_CC_164_2_2.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271232,tonsil,CD20+CD44-CD10+CXCR4-,"Germinal Center B cell, centrocyte",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406491,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271232
gcb_cc_2,,,,,,,GCB_CC_2,GSM4826481,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",CC_708,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826481,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826481/suppl/GSM4826481_Sample_CC_708.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826481/suppl/GSM4826481_Sample_CC_708.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271233,tonsil,CD20+CD44-CD10+CXCR4-,"Germinal Center B cell, centrocyte",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406490,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271233
gcb_cc_3,,,,,,,GCB_CC_3,GSM4826482,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",CC_P8,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826482,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826482/suppl/GSM4826482_Sample_CC_P8.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826482/suppl/GSM4826482_Sample_CC_P8.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271234,tonsil,CD20+CD44-CD10+CXCR4-,"Germinal Center B cell, centrocyte",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406489,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271234
mb_1,,,,,,,MB_1,GSM4826483,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",MBC_166_2_17,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826483,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826483/suppl/GSM4826483_Sample_MBC_166_2_17.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826483/suppl/GSM4826483_Sample_MBC_166_2_17.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271235,tonsil,CD20+CD44+CD10-CD38-CD27+,Memory B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406495,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271235
mb_2,,,,,,,MB_2,GSM4826484,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",MEMB_708,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826484,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826484/suppl/GSM4826484_Sample_MEMB_708.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826484/suppl/GSM4826484_Sample_MEMB_708.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271236,tonsil,CD20+CD44+CD10-CD38-CD27+,Memory B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406488,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271236
nb_1,,,,,,,NB_1,GSM4826485,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",NB_708,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826485,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826485/suppl/GSM4826485_Sample_NB_708.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826485/suppl/GSM4826485_Sample_NB_708.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271237,tonsil,CD20+CD44+CD10-IgD+,Naive B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406487,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271237
pc_1,,,,,,,PC_1,GSM4826486,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T168_PC_a_5,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826486,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826486/suppl/GSM4826486_Sample_T168_PC_a_5.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826486/suppl/GSM4826486_Sample_T168_PC_a_5.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271238,tonsil,CD20+CD44+CD10-CD38+CD27+,Plasma cell,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406486,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271238
gcb_cb_4,,,,,,,GCB_CB_4,GSM4826487,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T169_GCB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826487,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826487/suppl/GSM4826487_Sample_T169_GCB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826487/suppl/GSM4826487_Sample_T169_GCB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271239,tonsil,CD20+CD44-CD10+CXCR4+,"Germinal Center B cell, centroblast",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406485,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271239
gcb_cb_5,,,,,,,GCB_CB_5,GSM4826488,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T182_GCB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826488,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826488/suppl/GSM4826488_Sample_T182_GCB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826488/suppl/GSM4826488_Sample_T182_GCB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271240,tonsil,CD20+CD44-CD10+CXCR4+,"Germinal Center B cell, centroblast",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406484,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271240
mb_3,,,,,,,MB_3,GSM4826489,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T193_MEMB_a_23,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826489,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826489/suppl/GSM4826489_Sample_T193_MEMB_a_23.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826489/suppl/GSM4826489_Sample_T193_MEMB_a_23.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271241,tonsil,CD20+CD44+CD10-CD38-CD27+,Memory B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406483,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271241
pc_2,,,,,,,PC_2,GSM4826490,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T193_PC_a_22,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826490,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826490/suppl/GSM4826490_Sample_T193_PC_a_22.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826490/suppl/GSM4826490_Sample_T193_PC_a_22.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271242,tonsil,CD20+CD44+CD10-CD38+CD27+,Plasma cell,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406482,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271242
gcb_cb_6,,,,,,,GCB_CB_6,GSM4826491,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T58_GCB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826491,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826491/suppl/GSM4826491_Sample_T58_GCB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826491/suppl/GSM4826491_Sample_T58_GCB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271243,tonsil,CD20+CD44-CD10+CXCR4+,"Germinal Center B cell, centroblast",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406481,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271243
nb_2,,,,,,,NB_2,GSM4826492,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T58_NB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826492,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826492/suppl/GSM4826492_Sample_T58_NB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826492/suppl/GSM4826492_Sample_T58_NB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271244,tonsil,CD20+CD44+CD10-IgD+,Naive B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406480,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271244
gcb_cb_7,,,,,,,GCB_CB_7,GSM4826493,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T59_GCB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826493,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826493/suppl/GSM4826493_Sample_T59_GCB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826493/suppl/GSM4826493_Sample_T59_GCB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271245,tonsil,CD20+CD44-CD10+CXCR4+,"Germinal Center B cell, centroblast",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406504,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271245
nb_3,,,,,,,NB_3,GSM4826494,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",T59_NB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826494,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826494/suppl/GSM4826494_Sample_T59_NB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826494/suppl/GSM4826494_Sample_T59_NB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271246,tonsil,CD20+CD44+CD10-IgD+,Naive B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406503,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271246
sudhl4_ocabi_rep1,,,,,,,SUDHL4_OCABi_rep1,GSM5570005,Public on Sep 11 2021,Sep 08 2021,Sep 11 2021,SRA,1,SUDHL4,Homo sapiens,9606,"OCI-Ly7 cells were cultured in medium containing 80% Iscove’s Modified Dulbecco’s Medium with 20% FBS, or 90% RPMI-1640 with 10% FBS (SU-DHL-4), each supplemented with 1% glutamine and 1% penicillin/streptomycin. CRISPRi cells were generated by lentiviral transduction of pHR-SFFV-dCas9-BFP-KRAB (46911, Addgene).",total RNA,"Trizol, Illumina TruSeq stranded mRNA., Paired-end","SU4.OCABi.Aa, mRNA","Read adapter trimming using fastp., Transcript quantification with decoy-aware transcriptome using Salmon version 1.5.1.",GPL20301,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5570005,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5570nnn/GSM5570005/suppl/GSM5570005_SUDHL4_OCABi_rep1_quant.sf.gz,,"GSE183741, GSE183806",0,SRX12118481,,,,GRCh38.p13; Transcriptome build Gencode Release 38.,Salmon quant.sf files containing transcript quantifications.,https://www.ncbi.nlm.nih.gov/biosample/SAMN21363912,https://www.ncbi.nlm.nih.gov/sra?term=SRX12118481
sudhl4_ocabi_rep2,,,,,,,SUDHL4_OCABi_rep2,GSM5570006,Public on Sep 11 2021,Sep 08 2021,Sep 11 2021,SRA,1,SUDHL4,Homo sapiens,9606,"OCI-Ly7 cells were cultured in medium containing 80% Iscove’s Modified Dulbecco’s Medium with 20% FBS, or 90% RPMI-1640 with 10% FBS (SU-DHL-4), each supplemented with 1% glutamine and 1% penicillin/streptomycin. CRISPRi cells were generated by lentiviral transduction of pHR-SFFV-dCas9-BFP-KRAB (46911, Addgene).",total RNA,"Trizol, Illumina TruSeq stranded mRNA., Paired-end","SU4.OCABi.Ab, mRNA","Read adapter trimming using fastp., Transcript quantification with decoy-aware transcriptome using Salmon version 1.5.1.",GPL20301,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5570006,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5570nnn/GSM5570006/suppl/GSM5570006_SUDHL4_OCABi_rep2_quant.sf.gz,,"GSE183741, GSE183806",0,SRX12118482,,,,GRCh38.p13; Transcriptome build Gencode Release 38.,Salmon quant.sf files containing transcript quantifications.,https://www.ncbi.nlm.nih.gov/biosample/SAMN21363915,https://www.ncbi.nlm.nih.gov/sra?term=SRX12118482
oci-ly7_control_rep1,,,,,,,OCI-Ly7_control_rep1,GSM5570007,Public on Sep 11 2021,Sep 08 2021,Sep 11 2021,SRA,1,OCI-Ly7,Homo sapiens,9606,"OCI-Ly7 cells were cultured in medium containing 80% Iscove’s Modified Dulbecco’s Medium with 20% FBS, or 90% RPMI-1640 with 10% FBS (SU-DHL-4), each supplemented with 1% glutamine and 1% penicillin/streptomycin. CRISPRi cells were generated by lentiviral transduction of pHR-SFFV-dCas9-BFP-KRAB (46911, Addgene).",total RNA,"Trizol, Illumina TruSeq stranded mRNA., Paired-end","LY7.sg81a, mRNA","Read adapter trimming using fastp., Transcript quantification with decoy-aware transcriptome using Salmon version 1.5.1.",GPL20301,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM5570007,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5570nnn/GSM5570007/suppl/GSM5570007_OCI-Ly7_control_rep1_quant.sf.gz,,"GSE183741, GSE183806",0,SRX12118483,,,,GRCh38.p13; Transcriptome build Gencode Release 38.,Salmon quant.sf files containing transcript quantifications.,https://www.ncbi.nlm.nih.gov/biosample/SAMN21363916,https://www.ncbi.nlm.nih.gov/sra?term=SRX12118483
