sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_type,tissue,individual_id,genome_build,biosample,sra
5540_ba9_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343862,SRX2640538,5540_BA9_neg (ATAC-Seq),GSM2536643,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536643,NONE,"GSE96614, GSE96615",0,SRX2640538,NeuN neg,prefrontal cortex (BA9),5540,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603265,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640538
5540_ba9_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343863,SRX2640539,5540_BA9_pos (ATAC-Seq),GSM2536644,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536644,NONE,"GSE96614, GSE96615",0,SRX2640539,NeuN pos,prefrontal cortex (BA9),5540,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603264,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640539
5343_ba9_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343864,SRX2640540,5343_BA9_neg (ATAC-Seq),GSM2536645,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536645,NONE,"GSE96614, GSE96615",0,SRX2640540,NeuN neg,prefrontal cortex (BA9),5343,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603263,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640540
5343_ba9_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343865,SRX2640541,5343_BA9_pos (ATAC-Seq),GSM2536646,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536646,NONE,"GSE96614, GSE96615",0,SRX2640541,NeuN pos,prefrontal cortex (BA9),5343,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603262,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640541
5343_nacc_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343866,SRX2640542,5343_NAcc_neg (ATAC-Seq),GSM2536647,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536647,NONE,"GSE96614, GSE96615",0,SRX2640542,NeuN neg,nucleus accumbens (NAcc),5343,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603261,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640542
5343_nacc_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343867,SRX2640543,5343_NAcc_pos (ATAC-Seq),GSM2536648,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536648,NONE,"GSE96614, GSE96615",0,SRX2640543,NeuN pos,nucleus accumbens (NAcc),5343,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603260,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640543
5456_ba9_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343868,SRX2640544,5456_BA9_neg (ATAC-Seq),GSM2536649,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536649,NONE,"GSE96614, GSE96615",0,SRX2640544,NeuN neg,prefrontal cortex (BA9),5456,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603192,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640544
5456_ba9_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343869,SRX2640545,5456_BA9_pos (ATAC-Seq),GSM2536650,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536650,NONE,"GSE96614, GSE96615",0,SRX2640545,NeuN pos,prefrontal cortex (BA9),5456,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603187,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640545
5456_nacc_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343870,SRX2640546,5456_NAcc_neg (ATAC-Seq),GSM2536651,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536651,NONE,"GSE96614, GSE96615",0,SRX2640546,NeuN neg,nucleus accumbens (NAcc),5456,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603191,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640546
5540_nacc_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343871,SRX2640547,5540_NAcc_neg (ATAC-Seq),GSM2536652,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536652,NONE,"GSE96614, GSE96615",0,SRX2640547,NeuN neg,nucleus accumbens (NAcc),5540,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603190,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640547
5540_nacc_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343872,SRX2640548,5540_NAcc_pos (ATAC-Seq),GSM2536653,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536653,NONE,"GSE96614, GSE96615",0,SRX2640548,NeuN pos,nucleus accumbens (NAcc),5540,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603189,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640548
5456_nacc_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343873,SRX2640549,5456_NAcc_pos (ATAC-Seq),GSM2536654,Public on Dec 17 2018,Mar 14 2017,Oct 06 2022,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536654,NONE,"GSE96614, GSE96615",0,SRX2640549,NeuN pos,nucleus accumbens (NAcc),5456,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603188,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640549
