sample_geo_accession	sample_series_id.x	sample_name	super_tissue	tissue	cell_type	sex	age	donor	technology	ba	brain_region_1	area	super_region	region
GSM2536616	GSE96613, GSE96615	5540_nacc_pos_rna-seq_	Brain	nucleus accumbens (NAcc)	Neuron			5540	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
GSM2536617	GSE96613, GSE96615	5456_ba9_neg_rna-seq_	Brain	prefrontal cortex (BA9)	Non-Neuron			5456	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536618	GSE96613, GSE96615	5456_ba9_pos_rna-seq_	Brain	prefrontal cortex (BA9)	Neuron			5456	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536619	GSE96613, GSE96615	5456_nacc_neg_rna-seq_	Brain	nucleus accumbens (NAcc)	Non-Neuron			5456	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
GSM2536620	GSE96613, GSE96615	5456_nacc_pos_rna-seq_	Brain	nucleus accumbens (NAcc)	Neuron			5456	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
GSM2536621	GSE96613, GSE96615	5343_ba9_neg_rna-seq_	Brain	prefrontal cortex (BA9)	Non-Neuron			5343	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536622	GSE96613, GSE96615	5343_ba9_pos_rna-seq_	Brain	prefrontal cortex (BA9)	Neuron			5343	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536623	GSE96613, GSE96615	5343_nacc_neg_rna-seq_	Brain	nucleus accumbens (NAcc)	Non-Neuron			5343	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
GSM2536624	GSE96613, GSE96615	5343_nacc_pos_rna-seq_	Brain	nucleus accumbens (NAcc)	Neuron			5343	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
GSM2536625	GSE96613, GSE96615	5358_ba9_pos_rna-seq_	Brain	prefrontal cortex (BA9)	Neuron			5358	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536626	GSE96613, GSE96615	5358_nacc_pos_rna-seq_	Brain	nucleus accumbens (NAcc)	Neuron			5358	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
GSM2536627	GSE96613, GSE96615	5404_ba9_neg_rna-seq_	Brain	prefrontal cortex (BA9)	Non-Neuron			5404	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536628	GSE96613, GSE96615	5404_ba9_pos_rna-seq_	Brain	prefrontal cortex (BA9)	Neuron			5404	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536629	GSE96613, GSE96615	5347_nacc_neg_rna-seq_	Brain	nucleus accumbens (NAcc)	Non-Neuron			5347	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
GSM2536630	GSE96613, GSE96615	5347_nacc_pos_rna-seq_	Brain	nucleus accumbens (NAcc)	Neuron			5347	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
GSM2536631	GSE96613, GSE96615	5347_ba9_neg_rna-seq_	Brain	prefrontal cortex (BA9)	Non-Neuron			5347	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536632	GSE96613, GSE96615	5347_ba9_pos_rna-seq_	Brain	prefrontal cortex (BA9)	Neuron			5347	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2581267	GSE97930, GSE97942	occ1	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581268	GSE97930, GSE97942	occ4	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581269	GSE97930, GSE97942	occ5	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581270	GSE97930, GSE97942	occ6	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581271	GSE97930, GSE97942	occ7	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581272	GSE97930, GSE97942	occ8	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581273	GSE97930, GSE97942	occ9	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581274	GSE97930, GSE97942	occ10	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581275	GSE97930, GSE97942	occ11	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581276	GSE97930, GSE97942	occ12	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581277	GSE97930, GSE97942	occ2	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581278	GSE97930, GSE97942	occ3	Brain	BA17			23		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581279	GSE97930, GSE97942	fcx1	Brain	BA6			23		Single-cell RNA	BA6	BA6	Frontal Lobe	NA	Premotor Cortex
GSM2581280	GSE97930, GSE97942	fcx2	Brain	BA6			23		Single-cell RNA	BA6	BA6	Frontal Lobe	NA	Premotor Cortex
GSM2581281	GSE97930, GSE97942	occ13	Brain	BA17			20		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581282	GSE97930, GSE97942	occ14	Brain	BA17			20		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581283	GSE97930, GSE97942	occ15	Brain	BA17			20		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581284	GSE97930, GSE97942	occ16	Brain	BA17			20		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581285	GSE97930, GSE97942	fcx3	Brain	BA6			23		Single-cell RNA	BA6	BA6	Frontal Lobe	NA	Premotor Cortex
GSM2581286	GSE97930, GSE97942	fcx4	Brain	BA6			23		Single-cell RNA	BA6	BA6	Frontal Lobe	NA	Premotor Cortex
GSM2581287	GSE97930, GSE97942	fcx5	Brain	BA6			23		Single-cell RNA	BA6	BA6	Frontal Lobe	NA	Premotor Cortex
GSM2581288	GSE97930, GSE97942	occ17	Brain	BA17			20		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581289	GSE97930, GSE97942	fcx6	Brain	BA6			23		Single-cell RNA	BA6	BA6	Frontal Lobe	NA	Premotor Cortex
GSM2581290	GSE97930, GSE97942	fcx7	Brain	BA6			23		Single-cell RNA	BA6	BA6	Frontal Lobe	NA	Premotor Cortex
GSM2581291	GSE97930, GSE97942	fcx8	Brain	BA10			49		Single-cell RNA	BA10	BA10	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2581292	GSE97930, GSE97942	fcx9	Brain	BA10			49		Single-cell RNA	BA10	BA10	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2581293	GSE97930, GSE97942	occ18	Brain	BA17			49		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581294	GSE97930, GSE97942	occ19	Brain	BA17			49		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581295	GSE97930, GSE97942	fcx10	Brain	BA10			48		Single-cell RNA	BA10	BA10	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2581296	GSE97930, GSE97942	fcx11	Brain	BA10			48		Single-cell RNA	BA10	BA10	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2581297	GSE97930, GSE97942	occ20	Brain	BA17			48		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2581298	GSE97930, GSE97942	occ21	Brain	BA17			48		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2734253	GSE97930, GSE97942	cbm1	Brain	Cerebellar Hemisphere			49		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM2734254	GSE97930, GSE97942	cbm2	Brain	Cerebellar Hemisphere			49		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM2734255	GSE97930, GSE97942	cbm3	Brain	Cerebellar Hemisphere			48		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM2734256	GSE97930, GSE97942	cbm4	Brain	Cerebellar Hemisphere			48		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM2734257	GSE97930, GSE97942	occ22	Brain	BA17			35		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2734258	GSE97930, GSE97942	occ23	Brain	BA17			35		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2734259	GSE97930, GSE97942	occ24	Brain	BA17			35		Single-cell RNA	BA17	BA17	Occipital Lobe	NA	Primary Visual Cortex
GSM2734260	GSE97930, GSE97942	cbm5	Brain	Cerebellar Hemisphere			35		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM2734261	GSE97930, GSE97942	cbm6	Brain	Cerebellar Hemisphere			35		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM2734262	GSE97930, GSE97942	cbm7	Brain	Cerebellar Hemisphere			35		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM2734263	GSE97930, GSE97942	fcx12	Brain	BA10			35		Single-cell RNA	BA10	BA10	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2734264	GSE97930, GSE97942	fcx13	Brain	BA10			35		Single-cell RNA	BA10	BA10	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2734265	GSE97930, GSE97942	cbm8	Brain	Cerebellar Hemisphere			49		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM2734266	GSE97930, GSE97942	cbm9	Brain	Cerebellar Hemisphere			49		Single-cell RNA		Cerebellar Hemisphere	Cerebellum	NA	NA
GSM3692190	GSE129040, GSE129041	c13_atac-seq_	Brain	brain prefrontal cortex region tissues		male	69		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692190	GSE129040, GSE129041	c13_atac-seq_	Brain	brain prefrontal cortex region tissues		male	69		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692190	GSE129040, GSE129041	c13_atac-seq_	Brain			male	69		Bulk ATAC			Other	NA	NA
GSM3692190	GSE129040, GSE129041	c13_atac-seq_	Brain			male	69		Bulk ATAC			Other	NA	NA
GSM3692191	GSE129040, GSE129041	c13b_atac-seq_	Brain	brain prefrontal cortex region tissues		female	95		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692191	GSE129040, GSE129041	c13b_atac-seq_	Brain	brain prefrontal cortex region tissues		female	95		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692191	GSE129040, GSE129041	c13b_atac-seq_	Brain			female	95		Bulk ATAC			Other	NA	NA
GSM3692191	GSE129040, GSE129041	c13b_atac-seq_	Brain			female	95		Bulk ATAC			Other	NA	NA
GSM3692192	GSE129040, GSE129041	c23b_atac-seq_	Brain	brain prefrontal cortex region tissues		male	86		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692192	GSE129040, GSE129041	c23b_atac-seq_	Brain	brain prefrontal cortex region tissues		male	86		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692192	GSE129040, GSE129041	c23b_atac-seq_	Brain			male	86		Bulk ATAC			Other	NA	NA
GSM3692192	GSE129040, GSE129041	c23b_atac-seq_	Brain			male	86		Bulk ATAC			Other	NA	NA
GSM3692193	GSE129040, GSE129041	c25_atac-seq_	Brain	brain prefrontal cortex region tissues		male	74		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692193	GSE129040, GSE129041	c25_atac-seq_	Brain	brain prefrontal cortex region tissues		male	74		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692193	GSE129040, GSE129041	c25_atac-seq_	Brain			male	74		Bulk ATAC			Other	NA	NA
GSM3692193	GSE129040, GSE129041	c25_atac-seq_	Brain			male	74		Bulk ATAC			Other	NA	NA
GSM3692194	GSE129040, GSE129041	c31_atac-seq_	Brain	brain prefrontal cortex region tissues		male	80		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692194	GSE129040, GSE129041	c31_atac-seq_	Brain	brain prefrontal cortex region tissues		male	80		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692194	GSE129040, GSE129041	c31_atac-seq_	Brain			male	80		Bulk ATAC			Other	NA	NA
GSM3692194	GSE129040, GSE129041	c31_atac-seq_	Brain			male	80		Bulk ATAC			Other	NA	NA
GSM3692195	GSE129040, GSE129041	c31b_atac-seq_	Brain	brain prefrontal cortex region tissues		male	93		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692195	GSE129040, GSE129041	c31b_atac-seq_	Brain	brain prefrontal cortex region tissues		male	93		Bulk ATAC		brain prefrontal cortex region tissues	Prefrontal Cortex	NA	NA
GSM3692195	GSE129040, GSE129041	c31b_atac-seq_	Brain			male	93		Bulk ATAC			Other	NA	NA
GSM3692195	GSE129040, GSE129041	c31b_atac-seq_	Brain			male	93		Bulk ATAC			Other	NA	NA
GSM3732008	GSE130105, GSE130119	control1_ham737_	Brain						Bulk RNA			Other	NA	NA
GSM3732009	GSE130105, GSE130119	control2_ham738_	Brain						Bulk RNA			Other	NA	NA
GSM3732010	GSE130105, GSE130119	control3_opk363nc_	Brain						Bulk RNA			Other	NA	NA
GSM3755479	GSE130871	human_whitematter_rnaseq_1	Brain	White Matter					Bulk RNA		White Matter	NA	NA	NA
GSM3755480	GSE130871	human_whitematter_rnaseq_2	Brain	White Matter					Bulk RNA		White Matter	NA	NA	NA
GSM4002810	GSE130105, GSE130119	control4	Brain						Bulk RNA			Other	NA	NA
GSM4002811	GSE130105, GSE130119	control5	Brain						Bulk RNA			Other	NA	NA
GSM4089132	GSE130871	human_prefrontalcortex_neunnegative_atac_1	Brain	Human Prefrontal Cortex					Bulk ATAC		Human Prefrontal Cortex	Prefrontal Cortex	NA	NA
GSM4089133	GSE130871	human_prefrontalcortex_neunpositive_atac_1	Brain	Human Prefrontal Cortex					Bulk ATAC		Human Prefrontal Cortex	Prefrontal Cortex	NA	NA
GSM4089134	GSE130871	human_prefrontalcortex_neunnegative_atac_2	Brain	Human Prefrontal Cortex					Bulk ATAC		Human Prefrontal Cortex	Prefrontal Cortex	NA	NA
GSM4089135	GSE130871	human_prefrontalcortex_neunpositive_atac_2	Brain	Human Prefrontal Cortex					Bulk ATAC		Human Prefrontal Cortex	Prefrontal Cortex	NA	NA
GSM4271825	GSE143666	s2_glu_acc	Brain	anterior cingulate cortex	glutamatergic neurons	male	20		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271826	GSE143666	s4_glu_acc	Brain	anterior cingulate cortex	glutamatergic neurons	female	22		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271827	GSE143666	s1_glu_acc	Brain	anterior cingulate cortex	glutamatergic neurons	male	22		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271828	GSE143666	s3_glu_acc	Brain	anterior cingulate cortex	glutamatergic neurons	male	28		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271829	GSE143666	s2_glu_dlpfc	Brain	dorsolateral prefrontal cortex	glutamatergic neurons	male	20		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271830	GSE143666	s1_glu_dlpfc	Brain	dorsolateral prefrontal cortex	glutamatergic neurons	male	22		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271831	GSE143666	s4_glu_dlpfc	Brain	dorsolateral prefrontal cortex	glutamatergic neurons	female	22		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271832	GSE143666	s3_glu_dlpfc	Brain	dorsolateral prefrontal cortex	glutamatergic neurons	male	28		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271833	GSE143666	s3_glu_pvc	Brain	primary visual cortex	glutamatergic neurons	male	28		Bulk ATAC	BA17	primary visual cortex	Occipital Lobe	NA	Primary Visual Cortex
GSM4271834	GSE143666	s2_glu_pvc	Brain	primary visual cortex	glutamatergic neurons	male	20		Bulk ATAC	BA17	primary visual cortex	Occipital Lobe	NA	Primary Visual Cortex
GSM4271835	GSE143666	s4_glu_pvc	Brain	primary visual cortex	glutamatergic neurons	female	22		Bulk ATAC	BA17	primary visual cortex	Occipital Lobe	NA	Primary Visual Cortex
GSM4271836	GSE143666	s1_glu_pvc	Brain	primary visual cortex	glutamatergic neurons	male	22		Bulk ATAC	BA17	primary visual cortex	Occipital Lobe	NA	Primary Visual Cortex
GSM4271837	GSE143666	s3_gaba_acc	Brain	anterior cingulate cortex	GABAergic neurons	male	28		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271838	GSE143666	s4_gaba_acc	Brain	anterior cingulate cortex	GABAergic neurons	female	22		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271839	GSE143666	s1_gaba_acc	Brain	anterior cingulate cortex	GABAergic neurons	male	22		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271840	GSE143666	s4_gaba_dlpfc	Brain	dorsolateral prefrontal cortex	GABAergic neurons	female	22		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271841	GSE143666	s2_gaba_dlpfc	Brain	dorsolateral prefrontal cortex	GABAergic neurons	male	20		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271842	GSE143666	s3_gaba_dlpfc	Brain	dorsolateral prefrontal cortex	GABAergic neurons	male	28		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271843	GSE143666	s1_gaba_dlpfc	Brain	dorsolateral prefrontal cortex	GABAergic neurons	male	22		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271844	GSE143666	s3_gaba_pvc	Brain	primary visual cortex	GABAergic neurons	male	28		Bulk ATAC	BA17	primary visual cortex	Occipital Lobe	NA	Primary Visual Cortex
GSM4271845	GSE143666	s4_gaba_pvc	Brain	primary visual cortex	GABAergic neurons	female	22		Bulk ATAC	BA17	primary visual cortex	Occipital Lobe	NA	Primary Visual Cortex
GSM4271846	GSE143666	s1_gaba_pvc	Brain	primary visual cortex	GABAergic neurons	male	22		Bulk ATAC	BA17	primary visual cortex	Occipital Lobe	NA	Primary Visual Cortex
GSM4271847	GSE143666	s2_gaba_pvc	Brain	primary visual cortex	GABAergic neurons	male	20		Bulk ATAC	BA17	primary visual cortex	Occipital Lobe	NA	Primary Visual Cortex
GSM4271848	GSE143666	s2_olig_acc	Brain	anterior cingulate cortex	Oligodendrocyte	male	20		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271849	GSE143666	s1_olig_acc	Brain	anterior cingulate cortex	Oligodendrocyte	male	22		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271850	GSE143666	s3_olig_acc	Brain	anterior cingulate cortex	Oligodendrocyte	male	28		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271851	GSE143666	s4_olig_acc	Brain	anterior cingulate cortex	Oligodendrocyte	female	22		Bulk ATAC	BA24,32,33	anterior cingulate cortex	Prefrontal Cortex	Dorsomedial Prefrontal Cortex	Anterior Cingulate Cortex
GSM4271852	GSE143666	s2_olig_dlpfc	Brain	dorsolateral prefrontal cortex	Oligodendrocyte	male	20		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271853	GSE143666	s1_olig_dlpfc	Brain	dorsolateral prefrontal cortex	Oligodendrocyte	male	22		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271854	GSE143666	s3_olig_dlpfc	Brain	dorsolateral prefrontal cortex	Oligodendrocyte	male	28		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM4271855	GSE143666	s4_olig_dlpfc	Brain	dorsolateral prefrontal cortex	Oligodendrocyte	female	22		Bulk ATAC	BA8,9,46	dorsolateral prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
