sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_relation,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,gender,tissue,processed_data_file,genome_build,supplementary_files_format_and_content
e19_gni2_p002_scrna-seq_,,,,,,,E19_GNI2_P002 [scRNA-seq],GSM5762061,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471793,NONE,GSE176367,0,GSM5762061,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
e20_gni2_p002_scrna-seq_,,,,,,,E20_GNI2_P002 [scRNA-seq],GSM5762062,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471794,NONE,GSE176367,0,GSM5762062,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
e21_gni2_p002_scrna-seq_,,,,,,,E21_GNI2_P002 [scRNA-seq],GSM5762063,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471795,NONE,GSE176367,0,GSM5762063,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
e22_gni2_p002_scrna-seq_,,,,,,,E22_GNI2_P002 [scRNA-seq],GSM5762064,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471796,NONE,GSE176367,0,GSM5762064,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
e23_gni2_p002_scrna-seq_,,,,,,,E23_GNI2_P002 [scRNA-seq],GSM5762065,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471797,NONE,GSE176367,0,GSM5762065,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f23_gni2_p002_scrna-seq_,,,,,,,F23_GNI2_P002 [scRNA-seq],GSM5762066,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471798,NONE,GSE176367,0,GSM5762066,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f22_gni2_p002_scrna-seq_,,,,,,,F22_GNI2_P002 [scRNA-seq],GSM5762067,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471799,NONE,GSE176367,0,GSM5762067,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f21_gni2_p002_scrna-seq_,,,,,,,F21_GNI2_P002 [scRNA-seq],GSM5762068,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471800,NONE,GSE176367,0,GSM5762068,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f20_gni2_p002_scrna-seq_,,,,,,,F20_GNI2_P002 [scRNA-seq],GSM5762069,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471832,NONE,GSE176367,0,GSM5762069,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f19_gni2_p002_scrna-seq_,,,,,,,F19_GNI2_P002 [scRNA-seq],GSM5762070,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471833,NONE,GSE176367,0,GSM5762070,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f18_gni2_p002_scrna-seq_,,,,,,,F18_GNI2_P002 [scRNA-seq],GSM5762071,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471834,NONE,GSE176367,0,GSM5762071,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f16_gni2_p002_scrna-seq_,,,,,,,F16_GNI2_P002 [scRNA-seq],GSM5762072,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471835,NONE,GSE176367,0,GSM5762072,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f15_gni2_p002_scrna-seq_,,,,,,,F15_GNI2_P002 [scRNA-seq],GSM5762073,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471836,NONE,GSE176367,0,GSM5762073,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f14_gni2_p002_scrna-seq_,,,,,,,F14_GNI2_P002 [scRNA-seq],GSM5762074,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471837,NONE,GSE176367,0,GSM5762074,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
f13_gni2_p002_scrna-seq_,,,,,,,F13_GNI2_P002 [scRNA-seq],GSM5762075,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471838,NONE,GSE176367,0,GSM5762075,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
g13_gni2_p002_scrna-seq_,,,,,,,G13_GNI2_P002 [scRNA-seq],GSM5762076,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471839,NONE,GSE176367,0,GSM5762076,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
g14_gni2_p002_scrna-seq_,,,,,,,G14_GNI2_P002 [scRNA-seq],GSM5762077,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471840,NONE,GSE176367,0,GSM5762077,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
g15_gni2_p002_scrna-seq_,,,,,,,G15_GNI2_P002 [scRNA-seq],GSM5762078,Public on Feb 17 2022,Dec 28 2021,Feb 17 2022,SRA,1,large intestine,Homo sapiens,9606,age (y): 68,total RNA,"Non-inflamed biopsies from the large intestine were obtained from three tumor- screening patients and inflamed biopsies from the large intestine were obtained from three Crohn’s disease patients. Briefly, eight punch-biopsies per patients were collected and transported in wash buffer, consisting of Hank’s Balanced Salt Solution (HBSS) supplemented with antibiotics, fungizone and HEPES. Samples were processed within 1 h of biopsy retrieval. Wash buffer was removed and biopsies were enzymatically  ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), Smart-seq2 single cell data downstream analysis were perfored using R package Seurat v3.2.3 ...",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN24471841,NONE,GSE176367,0,GSM5762078,,,,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotations
