sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,disease_state,age,sex,corecode,samplename,depletions,assembly,biosample,sra
sc307,10X Genomics 5PrimeV1,,,,,,SC307,GSM6598827,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6598827,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598827/suppl/GSM6598827_SC307raw_feature_bc_matrix.h5,GSE214085,0,SRX17689205,lung,IPF,57,Female,2019-087-LT,IPF 1,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996207,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689205
sc313,10X Genomics 5PrimeV1,,,,,,SC313,GSM6598828,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6598828,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598828/suppl/GSM6598828_SC313raw_feature_bc_matrix.h5,GSE214085,0,SRX17689206,lung,Normal,33,Male,2019-095-CORE,CONTROL 3,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996206,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689206
sc315,10X Genomics 5PrimeV1,,,,,,SC315,GSM6598829,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6598829,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598829/suppl/GSM6598829_SC315raw_feature_bc_matrix.h5,GSE214085,0,SRX17689207,lung,Normal,64,Female,2019-098-CORE,CONTROL 1,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996205,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689207
sc317,10X Genomics 5PrimeV1,,,,,,SC317,GSM6598830,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6598830,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598830/suppl/GSM6598830_SC317raw_feature_bc_matrix.h5,GSE214085,0,SRX17689208,lung,IPF,50,Male,2019-102-LT,IPF 2,"50% CD45, EPCAM depleted",GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996204,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689208
sc323,10X Genomics 5PrimeV1,,,,,,SC323,GSM6598831,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6598831,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598831/suppl/GSM6598831_SC323raw_feature_bc_matrix.h5,GSE214085,0,SRX17689209,lung,Normal,38,Male,2019-106-CORE,CONTROL 2,"50% CD45, EPCAM depleted",GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996203,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689209
sc325,10X Genomics 5PrimeV1,,,,,,SC325,GSM6598832,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6598832,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598832/suppl/GSM6598832_SC325raw_feature_bc_matrix.h5,GSE214085,0,SRX17689210,lung,IPF,73,Female,2019-108-LT,IPF 3,"50% CD45, EPCAM depleted",GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996202,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689210
sc333,10X Genomics 5PrimeV1,,,,,,SC333,GSM6598833,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6598833,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598833/suppl/GSM6598833_SC333raw_feature_bc_matrix.h5,GSE214085,0,SRX17689211,lung,Normal,62,Male,2019-113-CORE,CONTROL 4,"50% CD45, EPCAM depleted",GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996201,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689211
sc334,10X Genomics 5PrimeV1,,,,,,SC334,GSM6598834,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6598834,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598834/suppl/GSM6598834_SC334raw_feature_bc_matrix.h5,GSE214085,0,SRX17689212,lung,Normal,63,Male,2019-114-CORE,CONTROL 5,none,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996200,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689212
sc308,10X Genomics scATACv1,,,,,,SC308,GSM6598835,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,genomic DNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6598835,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598835/suppl/GSM6598835_SC308filtered_peak_bc_matrix.h5,GSE214085,0,SRX17689213,lung,IPF,57,Female,2019-087-LT,IPF 1 ATAC,none,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996199,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689213
sc316,10X Genomics scATACv1,,,,,,SC316,GSM6598836,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,genomic DNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6598836,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598836/suppl/GSM6598836_SC316filtered_peak_bc_matrix.h5,GSE214085,0,SRX17689214,lung,Normal,64,Female,2019-098-CORE,CONTROL 1 ATAC,none,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996198,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689214
sc318,10X Genomics scATACv1,,,,,,SC318,GSM6598837,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,genomic DNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6598837,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598837/suppl/GSM6598837_SC318filtered_peak_bc_matrix.h5,GSE214085,0,SRX17689215,lung,IPF,50,Male,2019-102-LT,IPF 2 ATAC,"50% CD45, EPCAM depleted",GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996197,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689215
sc324,10X Genomics scATACv1,,,,,,SC324,GSM6598838,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,genomic DNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6598838,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598838/suppl/GSM6598838_SC324filtered_peak_bc_matrix.h5,GSE214085,0,SRX17689216,lung,Normal,38,Male,2019-106-CORE,CONTROL 2 ATAC,"50% CD45, EPCAM depleted",GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996196,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689216
sc326,10X Genomics scATACv1,,,,,,SC326,GSM6598839,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,genomic DNA,GPL24676,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6598839,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598839/suppl/GSM6598839_SC326filtered_peak_bc_matrix.h5,GSE214085,0,SRX17689217,lung,IPF,73,Female,2019-108-LT,IPF 3 ATAC,"50% CD45, EPCAM depleted",GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996195,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689217
