sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,assembly,biosample,sra
donor_aged2_hspc_or_cd34_enriched_cells_from_bmmc_atac_sample_13,,,,,,,"Donor Aged2, HSPC or CD34 enriched cells from BMMC, ATAC, sample 13",GSM6766859,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 13): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6766859,NONE,"GSE219015, GSE219057",0,SRX18431004,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31944020,https://www.ncbi.nlm.nih.gov/sra?term=SRX18431004
donor_aged2_hspc_or_cd34_enriched_cells_from_bmmc_mitochondrial_dna_sample_13,,,,,,,"Donor Aged2, HSPC or CD34 enriched cells from BMMC, mitochondrial DNA, sample 13",GSM6766860,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 13): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6766860,NONE,"GSE219015, GSE219057",0,SRX18431005,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31944019,https://www.ncbi.nlm.nih.gov/sra?term=SRX18431005
donor_young-1_bmmcs_mrna-derived_cdna_sample_1,,,,,,,"Donor Young-1, BMMCs, mRNA-derived cDNA, sample 1",GSM6771599,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 1): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6771599,NONE,"GSE219015, GSE219106",0,SRX18439344,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951038,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439344
donor_young-1_bmmcs_atac_sample_1,,,,,,,"Donor Young-1, BMMCs, ATAC, sample 1",GSM6771600,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 1): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6771600,NONE,"GSE219015, GSE219106",0,SRX18439345,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951037,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439345
donor_young-1_bmmcs_mitochondrial_dna__sample_1,,,,,,,"Donor Young-1, BMMCs, mitochondrial DNA , sample 1",GSM6771601,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 1): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6771601,NONE,"GSE219015, GSE219106",0,SRX18439346,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951036,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439346
donor_young-1_hspc_or_cd34_enriched_cells_from_bmmc_mrna-derived_cdna_sample_2,,,,,,,"Donor Young-1, HSPC or CD34 enriched cells from BMMC, mRNA-derived cDNA, sample 2",GSM6771602,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 1): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6771602,NONE,"GSE219015, GSE219106",0,SRX18439347,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951035,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439347
donor_young-1_hspc_or_cd34_enriched_cells_from_bmmc_atac_sample_2,,,,,,,"Donor Young-1, HSPC or CD34 enriched cells from BMMC, ATAC, sample 2",GSM6771603,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 1): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6771603,NONE,"GSE219015, GSE219106",0,SRX18439348,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951034,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439348
donor_young-1_hspc_or_cd34_enriched_cells_from_bmmc_mitochondrial_dna_sample_2,,,,,,,"Donor Young-1, HSPC or CD34 enriched cells from BMMC, mitochondrial DNA, sample 2",GSM6771604,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 1): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6771604,NONE,"GSE219015, GSE219106",0,SRX18439349,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951033,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439349
donor_young-1_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_mrna-derived_cdna_sample_3,,,,,,,"Donor Young-1, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, mRNA-derived cDNA, sample 3",GSM6771605,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 1): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6771605,NONE,"GSE219015, GSE219106",0,SRX18439350,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951032,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439350
donor_young-1_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_atac_sample_3,,,,,,,"Donor Young-1, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, ATAC, sample 3",GSM6771606,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 1): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6771606,NONE,"GSE219015, GSE219106",0,SRX18439351,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951031,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439351
donor_young-1_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_mitochondrial_dna_sample_3,,,,,,,"Donor Young-1, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, mitochondrial DNA, sample 3",GSM6771607,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 1): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6771607,NONE,"GSE219015, GSE219106",0,SRX18439352,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31951030,https://www.ncbi.nlm.nih.gov/sra?term=SRX18439352
donor_young-1_timepoint2_bmmcs_mrna-derived_cdna_sample_4,,,,,,,"Donor Young-1, Timepoint2, BMMCs, mRNA-derived cDNA, sample 4",GSM6774908,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 4): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6774908,NONE,"GSE219015, GSE219167",0,SRX18452670,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975041,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452670
donor_young-1_timepoint2_bmmcs_atac_sample_4,,,,,,,"Donor Young-1, Timepoint2, BMMCs, ATAC, sample 4",GSM6774909,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 4): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6774909,NONE,"GSE219015, GSE219167",0,SRX18452671,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975040,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452671
donor_young-1_timepoint2_bmmcs_mitochondrial_dna__sample_4,,,,,,,"Donor Young-1, Timepoint2, BMMCs, mitochondrial DNA , sample 4",GSM6774910,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 4): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6774910,NONE,"GSE219015, GSE219167",0,SRX18452672,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975039,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452672
donor_young-1_timepoint2_hspc_or_cd34_enriched_cells_from_bmmc_mrna-derived_cdna_sample_5,,,,,,,"Donor Young-1, Timepoint2, HSPC or CD34 enriched cells from BMMC, mRNA-derived cDNA, sample 5",GSM6774911,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 5): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6774911,NONE,"GSE219015, GSE219167",0,SRX18452673,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975038,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452673
donor_young-1_timepoint2_hspc_or_cd34_enriched_cells_from_bmmc_atac_sample_5,,,,,,,"Donor Young-1, Timepoint2, HSPC or CD34 enriched cells from BMMC, ATAC, sample 5",GSM6774912,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 5): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6774912,NONE,"GSE219015, GSE219167",0,SRX18452674,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975037,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452674
donor_young-1_timepoint2_hspc_or_cd34_enriched_cells_from_bmmc_mitochondrial_dna_sample_5,,,,,,,"Donor Young-1, Timepoint2, HSPC or CD34 enriched cells from BMMC, mitochondrial DNA, sample 5",GSM6774913,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 5): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6774913,NONE,"GSE219015, GSE219167",0,SRX18452675,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975036,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452675
donor_young-1_timepoint2_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_mrna-derived_cdna_sample_6,,,,,,,"Donor Young-1, Timepoint2, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, mRNA-derived cDNA, sample 6",GSM6774914,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 6): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6774914,NONE,"GSE219015, GSE219167",0,SRX18452676,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975035,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452676
donor_young-1_timepoint2_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_atac_sample_6,,,,,,,"Donor Young-1, Timepoint2, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, ATAC, sample 6",GSM6774915,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 6): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6774915,NONE,"GSE219015, GSE219167",0,SRX18452677,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975034,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452677
