sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,donor,cell_type,time,assembly,supplementary_files_format_and_content,biosample,sra
day3abc_a_atac-seq_,,,,,,,Day3ABC_A (ATAC-seq),GSM6764952,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 3 to day 6, at day 3, cells were detached from the CD40L L cell layer and reseeded at 1 × 10^5/ml in media supplemented with IL-2 (20 U/ml) and IL-21 (50 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630) ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764952,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764952/suppl/GSM6764952_Day3ABC_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415965,Peripheral blood,A,Plasmablast,Day3,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929502,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415965
day3abc_b_atac-seq_,,,,,,,Day3ABC_B (ATAC-seq),GSM6764953,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 3 to day 6, at day 3, cells were detached from the CD40L L cell layer and reseeded at 1 × 10^5/ml in media supplemented with IL-2 (20 U/ml) and IL-21 (50 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630) ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764953,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764953/suppl/GSM6764953_Day3ABC_B.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415966,Peripheral blood,B,Plasmablast,Day3,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929501,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415966
day3abc_c_2_atac-seq_,,,,,,,Day3ABC_C.2 (ATAC-seq),GSM6764954,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 3 to day 6, at day 3, cells were detached from the CD40L L cell layer and reseeded at 1 × 10^5/ml in media supplemented with IL-2 (20 U/ml) and IL-21 (50 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630) ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764954,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764954/suppl/GSM6764954_Day3ABC_C.2.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415967,Peripheral blood,C,Plasmablast,Day3,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929500,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415967
day6pb_a_atac-seq_,,,,,,,Day6PB_A (ATAC-seq),GSM6764955,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0 ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764955,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764955/suppl/GSM6764955_Day6PB_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415968,Peripheral blood,A,Plasmablast,Day6,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929499,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415968
day6pb_c_atac-seq_,,,,,,,Day6PB_C (ATAC-seq),GSM6764956,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0 ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764956,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764956/suppl/GSM6764956_Day6PB_C.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415969,Peripheral blood,C,Plasmablast,Day6,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929498,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415969
day10pc_a_atac-seq_,,,,,,,Day10PC_A (ATAC-seq),GSM6764957,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0 ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764957,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764957/suppl/GSM6764957_Day10PC_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415970,Peripheral blood,A,Plasmacell,Day10,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929497,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415970
day10pc_c_atac-seq_,,,,,,,Day10PC_C (ATAC-seq),GSM6764958,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0 ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764958,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764958/suppl/GSM6764958_Day10PC_C.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415971,Peripheral blood,C,Plasmacell,Day10,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929496,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415971
day13pc_a_atac-seq_,,,,,,,Day13PC_A (ATAC-seq),GSM6764959,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0 ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764959,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764959/suppl/GSM6764959_Day13PC_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415972,Peripheral blood,A,Plasmacell,Day13,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929495,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415972
day13pc_c_atac-seq_,,,,,,,Day13PC_C (ATAC-seq),GSM6764960,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0 ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764960,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764960/suppl/GSM6764960_Day13PC_C.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415973,Peripheral blood,C,Plasmacell,Day13,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929494,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415973
day0bc_a_rna-seq_,,,,,,,Day0BC_A (RNA-seq),GSM6764967,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764967,NONE,"GSE219011, GSE219012",0,SRX18415723,Peripheral blood,A,B-cell,Day0,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929493,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415723
day0bc_b_rna-seq_,,,,,,,Day0BC_B (RNA-seq),GSM6764968,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764968,NONE,"GSE219011, GSE219012",0,SRX18415724,Peripheral blood,B,B-cell,Day0,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929492,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415724
day0bc_c_rna-seq_,,,,,,,Day0BC_C (RNA-seq),GSM6764969,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764969,NONE,"GSE219011, GSE219012",0,SRX18415725,Peripheral blood,C,B-cell,Day0,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929491,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415725
day0-30min-bc_a_rna-seq_,,,,,,,Day0-30min-BC_A (RNA-seq),GSM6764970,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764970,NONE,"GSE219011, GSE219012",0,SRX18415726,Peripheral blood,A,B-cell,Day0-30min,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929490,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415726
