sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,disorder,age,gender,genome_build,supplementary_files_format_and_content,biosample,sra
healthy_control_patient4788_neun-neg_rnaseq_,,,,,,,healthy control Patient4788 [NeuN-neg RNAseq],GSM4523795,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523795,NONE,"GSE150117, GSE150130",0,SRX8293396,healthy control,48,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854823,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293396
healthy_control_patient1739_neun-neg_rnaseq_,,,,,,,healthy control Patient1739 [NeuN-neg RNAseq],GSM4523796,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523796,NONE,"GSE150117, GSE150130",0,SRX8293397,healthy control,48,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854822,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293397
cdls_patient2082_neun-neg_rnaseq_,,,,,,,CdLS Patient2082 [NeuN-neg RNAseq],GSM4523797,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of CdLS cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523797,NONE,"GSE150117, GSE150130",0,SRX8293398,CdLS,48,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854821,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293398
healthy_control_patient4715_neun-neg_rnaseq_,,,,,,,healthy control Patient4715 [NeuN-neg RNAseq],GSM4523798,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523798,NONE,"GSE150117, GSE150130",0,SRX8293399,healthy control,19,Male,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854820,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293399
healthy_control_patient2308_neun-neg_rnaseq_,,,,,,,healthy control Patient2308 [NeuN-neg RNAseq],GSM4523799,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523799,NONE,"GSE150117, GSE150130",0,SRX8293400,healthy control,24,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854819,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293400
healthy_control_patient3011_neun-neg_rnaseq_,,,,,,,healthy control Patient3011 [NeuN-neg RNAseq],GSM4523800,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523800,NONE,"GSE150117, GSE150130",0,SRX8293401,healthy control,30,Male,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854818,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293401
cdls_patient380p_neun-neg_rnaseq_,,,,,,,CdLS Patient380P [NeuN-neg RNAseq],GSM4523801,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of CdLS cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523801,NONE,"GSE150117, GSE150130",0,SRX8293402,CdLS,19,Male,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854817,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293402
cdls_patient764p_neun-neg_rnaseq_,,,,,,,CdLS Patient764P [NeuN-neg RNAseq],GSM4523802,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of CdLS cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523802,NONE,"GSE150117, GSE150130",0,SRX8293403,CdLS,31,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854816,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293403
healthy_control_patient5345_neun-pos_rnaseq_,,,,,,,healthy control Patient5345 [NeuN-pos RNAseq],GSM4523803,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.positive_GeneCounts.csv, 5345","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523803,NONE,"GSE150118, GSE150130",0,SRX8293737,healthy control,48,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854858,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293737
healthy_control_patient4788_neun-pos_rnaseq_,,,,,,,healthy control Patient4788 [NeuN-pos RNAseq],GSM4523804,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.positive_GeneCounts.csv, 4788","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523804,NONE,"GSE150118, GSE150130",0,SRX8293738,healthy control,48,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854857,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293738
healthy_control_patient1739_neun-pos_rnaseq_,,,,,,,healthy control Patient1739 [NeuN-pos RNAseq],GSM4523805,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.positive_GeneCounts.csv, 1739","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523805,NONE,"GSE150118, GSE150130",0,SRX8293729,healthy control,48,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854856,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293729
cdls_patient2082_neun-pos_rnaseq_,,,,,,,CdLS Patient2082 [NeuN-pos RNAseq],GSM4523806,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of CdLS cortical neuronal nuceli, CdLS.NeuN.positive_GeneCounts.csv, 2082","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523806,NONE,"GSE150118, GSE150130",0,SRX8293730,CdLS,48,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854855,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293730
healthy_control_patient4715_neun-pos_rnaseq_,,,,,,,healthy control Patient4715 [NeuN-pos RNAseq],GSM4523807,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.positive_GeneCounts.csv, SD047_15","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523807,NONE,"GSE150118, GSE150130",0,SRX8293731,healthy control,19,Male,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854854,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293731
