sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,genotype,treatment,assembly,supplementary_files_format_and_content,biosample,sra
primary_breast_epithelial_cells_rep3_rna-seq_,,,,,,,"Primary breast epithelial cells, rep3 (RNA-seq)",GSM6664074,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,,total RNA,To be updated.,"The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR, RNA-seq",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664074,NONE,"GSE216238, GSE216241",0,SRX17971644,Breast,Primary breast epithelial cells,WT,Female,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393334,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971644
tonsl_overexpressing_primary_breast_epithelial_cells_rep3_rna-seq_,,,,,,,"TONSL overexpressing Primary breast epithelial cells, rep3 (RNA-seq)",GSM6664075,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,,total RNA,To be updated.,"The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR, RNA-seq",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664075,NONE,"GSE216238, GSE216241",0,SRX17971645,Breast,Primary breast epithelial cells,TONSL overexpression,Female,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393333,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971645
tmd436_plko_rep1_rna-seq_,,,,,,,"TMD436, PLKO, rep1 (RNA-seq)",GSM6664461,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664461,NONE,"GSE216239, GSE216241",0,SRX17971738,Breast,Cancer cells,WT,shControl,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393477,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971738
tmd436_plko_rep2_rna-seq_,,,,,,,"TMD436, PLKO, rep2 (RNA-seq)",GSM6664462,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664462,NONE,"GSE216239, GSE216241",0,SRX17971739,Breast,Cancer cells,WT,shControl,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393476,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971739
tmd436_plko_rep3_rna-seq_,,,,,,,"TMD436, PLKO, rep3 (RNA-seq)",GSM6664463,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664463,NONE,"GSE216239, GSE216241",0,SRX17971740,Breast,Cancer cells,WT,shControl,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393475,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971740
tmd436_shtonsl_clone1_rep1_rna-seq_,,,,,,,"TMD436, shTONSL Clone1, rep1 (RNA-seq)",GSM6664464,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664464,NONE,"GSE216239, GSE216241",0,SRX17971741,Breast,Cancer cells,TONSL knockdown,shTONSL Clone1,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393474,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971741
tmd436_shtonsl_clone1_rep2_rna-seq_,,,,,,,"TMD436, shTONSL Clone1, rep2 (RNA-seq)",GSM6664466,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664466,NONE,"GSE216239, GSE216241",0,SRX17971742,Breast,Cancer cells,TONSL knockdown,shTONSL Clone1,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393473,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971742
tmd436_shtonsl_clone1_rep3_rna-seq_,,,,,,,"TMD436, shTONSL Clone1, rep3 (RNA-seq)",GSM6664467,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664467,NONE,"GSE216239, GSE216241",0,SRX17971743,Breast,Cancer cells,TONSL knockdown,shTONSL Clone1,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393472,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971743
tmd436_shtonsl_clone2_rep1_rna-seq_,,,,,,,"TMD436, shTONSL Clone2, rep1 (RNA-seq)",GSM6664468,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664468,NONE,"GSE216239, GSE216241",0,SRX17971744,Breast,Cancer cells,TONSL knockdown,shTONSL Clone2,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393471,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971744
tmd436_shtonsl_clone2_rep2_rna-seq_,,,,,,,"TMD436, shTONSL Clone2, rep2 (RNA-seq)",GSM6664469,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664469,NONE,"GSE216239, GSE216241",0,SRX17971745,Breast,Cancer cells,TONSL knockdown,shTONSL Clone2,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393470,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971745
tmd436_shtonsl_clone2_rep3_rna-seq_,,,,,,,"TMD436, shTONSL Clone2, rep3 (RNA-seq)",GSM6664470,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664470,NONE,"GSE216239, GSE216241",0,SRX17971746,Breast,Cancer cells,TONSL knockdown,shTONSL Clone2,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393469,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971746
tmd436_shtonsl_clone3_rep1_rna-seq_,,,,,,,"TMD436, shTONSL Clone3, rep1 (RNA-seq)",GSM6664472,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664472,NONE,"GSE216239, GSE216241",0,SRX17971747,Breast,Cancer cells,TONSL knockdown,shTONSL Clone3,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393468,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971747
tmd436_shtonsl_clone3_rep2_rna-seq_,,,,,,,"TMD436, shTONSL Clone3, rep2 (RNA-seq)",GSM6664473,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,MEM +10%FBS+ antibiotics in humidified atmosphere with 5% CO2 at 37C,total RNA,"QIAGEN, RNeasy mini kit, Cat No.71406. 1ug of total RNA was used for the construction of sequencing libraries.","The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664473,NONE,"GSE216239, GSE216241",0,SRX17971748,Breast,Cancer cells,TONSL knockdown,shTONSL Clone3,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393467,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971748
