sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,sex,assembly
dipc-human-experiment11-cerebellum,,,,,,,dipc-human-experiment11-cerebellum,GSM7876771,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876771,cerebellum,male,hg19 and mm10
dipc-mouse-cerebellum-p175,,,,,,,dipc-mouse-cerebellum-p175,GSM7876772,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876772,cerebellum,pooled male and female,hg19 and mm10
dipc-mouse-cerebellum-p365,,,,,,,dipc-mouse-cerebellum-p365,GSM7876773,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876773,cerebellum,male,hg19 and mm10
dipc-mouse-cerebellum-p385,,,,,,,dipc-mouse-cerebellum-p385,GSM7876774,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876774,cerebellum,pooled male and female,hg19 and mm10
dipc-mouse-cerebellum-p637,,,,,,,dipc-mouse-cerebellum-p637,GSM7876775,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876775,cerebellum,pooled male and female,hg19 and mm10
bulk-mouse-cerebellum_p070-chd8-wildtype,,,,,,,bulk-mouse-cerebellum_p070-chd8-wildtype,GSM7876776,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876776,cerebellum,male,hg19 and mm10
bulk-mouse-cerebellum_p070-chd8-heterozygote,,,,,,,bulk-mouse-cerebellum_p070-chd8-heterozygote,GSM7876777,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876777,cerebellum,male,hg19 and mm10
bulk-mouse-cerebellum_p057-arid1b-wildtype,,,,,,,bulk-mouse-cerebellum_p057-arid1b-wildtype,GSM7876778,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876778,cerebellum,male,hg19 and mm10
bulk-mouse-cerebellum_p057-arid1b-heterozygote,,,,,,,bulk-mouse-cerebellum_p057-arid1b-heterozygote,GSM7876779,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876779,cerebellum,male,hg19 and mm10
dipc-mouse-cerebellum-p003,,,,,,,dipc-mouse-cerebellum-p003,GSM7876780,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876780,cerebellum,male,hg19 and mm10
dipc-mouse-cerebellum-p007,,,,,,,dipc-mouse-cerebellum-p007,GSM7876781,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876781,cerebellum,female,hg19 and mm10
dipc-mouse-cerebellum-p010,,,,,,,dipc-mouse-cerebellum-p010,GSM7876782,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876782,cerebellum,male,hg19 and mm10
dipc-mouse-cerebellum-p014-f1hybrid,,,,,,,dipc-mouse-cerebellum-p014-f1hybrid,GSM7876783,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876783,cerebellum,pooled male and female,hg19 and mm10
dipc-mouse-cerebellum-p014,,,,,,,dipc-mouse-cerebellum-p014,GSM7876784,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876784,cerebellum,pooled male and female,hg19 and mm10
dipc-mouse-cerebellum-p017,,,,,,,dipc-mouse-cerebellum-p017,GSM7876785,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876785,cerebellum,male,hg19 and mm10
dipc-mouse-cerebellum-p021,,,,,,,dipc-mouse-cerebellum-p021,GSM7876786,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Mus musculus,10090,genomic DNA,Dip-C,"mouse.contacts_female.pairs.gz.tar.gz, mouse.contacts_female.seg.gz.tar.gz, mouse.contacts_male.pairs.gz.tar.gz, mouse.contacts_male.seg.gz.tar.gz, mouse.contacts_unisex.info.tar.gz, mouse.contacts_unisex.pairs.gz.tar.gz, mouse.contacts_unisex.seg.gz.tar.gz, mouse.cpg_b1m.color2.tar.gz, mouse.x2a.txt.tar.gz, mouse.contacts_male_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_female_with_haplotypes.pairs.gz.tar.gz, mouse.contacts_male_with_haplotypes.seg.gz.tar.gz, mouse.contacts_female_with_hapl ...",GPL24247,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876786,cerebellum,pooled male and female,hg19 and mm10
