sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_relation,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,patient,condition,tissue,tissue_source,project,raw_data_location,raw_data_id,assay,library_strategy,genome_build
bukmap_20190822b_snare2-r,,,,,,,BUKMAP_20190822B_SNARE2-R,GSM5554415,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206821,NONE,"GSE183273, GSE183279",0,GSM5554415,3499,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM946.BMMG.447,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20190822b_snare2-ac,,,,,,,BUKMAP_20190822B_SNARE2-AC,GSM5554416,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206822,NONE,"GSE183273, GSE183279",0,GSM5554416,3499,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM272.GBVC.855,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20190822c_snare2-r,,,,,,,BUKMAP_20190822C_SNARE2-R,GSM5554417,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206823,NONE,"GSE183273, GSE183279",0,GSM5554417,3409,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM725.CWPX.235,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20190822c_snare2-ac,,,,,,,BUKMAP_20190822C_SNARE2-AC,GSM5554418,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206824,NONE,"GSE183273, GSE183279",0,GSM5554418,3409,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM562.HZRD.987,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20190822d_snare2-r,,,,,,,BUKMAP_20190822D_SNARE2-R,GSM5554419,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206825,NONE,"GSE183273, GSE183279",0,GSM5554419,3510,Reference,Kidney Cortex,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM824.KLLG.578,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20190822d_snare2-ac,,,,,,,BUKMAP_20190822D_SNARE2-AC,GSM5554420,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206826,NONE,"GSE183273, GSE183279",0,GSM5554420,3510,Reference,Kidney Cortex,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM458.TCPJ.972,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20190822e_snare2-r,,,,,,,BUKMAP_20190822E_SNARE2-R,GSM5554421,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206827,NONE,"GSE183273, GSE183279",0,GSM5554421,3504,Reference,Kidney Medulla,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM894.NDHN.897,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20190822e_snare2-ac,,,,,,,BUKMAP_20190822E_SNARE2-AC,GSM5554422,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206828,NONE,"GSE183273, GSE183279",0,GSM5554422,3504,Reference,Kidney Medulla,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM589.XJBG.957,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211a_snare2-r,,,,,,,BUKMAP_20200211A_SNARE2-R,GSM5554423,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206829,NONE,"GSE183273, GSE183279",0,GSM5554423,3504,Reference,Kidney Medulla,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM554.LVLW.384,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211a_snare2-ac,,,,,,,BUKMAP_20200211A_SNARE2-AC,GSM5554424,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206830,NONE,"GSE183273, GSE183279",0,GSM5554424,3504,Reference,Kidney Medulla,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM866.XFFW.929,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211b_snare2-r,,,,,,,BUKMAP_20200211B_SNARE2-R,GSM5554425,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206831,NONE,"GSE183273, GSE183279",0,GSM5554425,3504,Reference,Kidney Cortex,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM587.MRRS.892,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211b_snare2-ac,,,,,,,BUKMAP_20200211B_SNARE2-AC,GSM5554426,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206832,NONE,"GSE183273, GSE183279",0,GSM5554426,3504,Reference,Kidney Cortex,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM799.TVPZ.472,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211c_snare2-r,,,,,,,BUKMAP_20200211C_SNARE2-R,GSM5554427,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206833,NONE,"GSE183273, GSE183279",0,GSM5554427,3535,Reference,Kidney Medulla,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM494.VMZH.734,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
