sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,individual,tissue,sex,age,ancestry,instrument_model,assembly,supplementary_files_format_and_content,biosample,sra
donor_3_lv_snrna-seq,,,,,,,"Donor 3, LV, snRNA-seq",GSM7036804,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Left ventricle,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036804,NONE,"GSE224995, GSE224997",0,SRX19329777,Donor 3,Left ventricle,Male,55,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238675,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329777
donor_3_apex_snrna-seq,,,,,,,"Donor 3, Apex, snRNA-seq",GSM7036805,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Apex,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036805,NONE,"GSE224995, GSE224997",0,SRX19329778,Donor 3,Apex,Male,55,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238674,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329778
donor_1_septum_scatac-seq,,,,,,,"Donor 1, Septum, scATAC-seq",GSM7036806,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Interventricular septum,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-MW200804-A-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036806,NONE,"GSE224996, GSE224997",0,SRX19329975,Donor 1,Interventricular septum,Male,54,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238928,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329975
donor_1_rv_scatac-seq,,,,,,,"Donor 1, RV, scATAC-seq",GSM7036807,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Right ventricle,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-MW200804-C-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036807,NONE,"GSE224996, GSE224997",0,SRX19329964,Donor 1,Right ventricle,Male,54,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238927,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329964
donor_1_lv_scatac-seq,,,,,,,"Donor 1, LV, scATAC-seq",GSM7036808,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Left ventricle,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-MW200804-D-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036808,NONE,"GSE224996, GSE224997",0,SRX19329965,Donor 1,Left ventricle,Male,54,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238926,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329965
donor_1_apex_scatac-seq,,,,,,,"Donor 1, Apex, scATAC-seq",GSM7036809,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Apex,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-MW200804-413-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036809,NONE,"GSE224996, GSE224997",0,SRX19329966,Donor 1,Apex,Male,54,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238925,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329966
donor_2_septum_scatac-seq,,,,,,,"Donor 2, Septum, scATAC-seq",GSM7036810,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Interventricular septum,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-HE200915-175-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036810,NONE,"GSE224996, GSE224997",0,SRX19329967,Donor 2,Interventricular septum,Male,47,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238924,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329967
donor_2_rv_scatac-seq,,,,,,,"Donor 2, RV, scATAC-seq",GSM7036811,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Right ventricle,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-HE200915-360-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036811,NONE,"GSE224996, GSE224997",0,SRX19329968,Donor 2,Right ventricle,Male,47,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238923,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329968
donor_2_lv_scatac-seq,,,,,,,"Donor 2, LV, scATAC-seq",GSM7036812,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Left ventricle,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-HE200915-397-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036812,NONE,"GSE224996, GSE224997",0,SRX19329969,Donor 2,Left ventricle,Male,47,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238922,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329969
donor_2_apex_scatac-seq,,,,,,,"Donor 2, Apex, scATAC-seq",GSM7036813,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Apex,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-HE200915-398-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036813,NONE,"GSE224996, GSE224997",0,SRX19329970,Donor 2,Apex,Male,47,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238921,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329970
donor_3_septum_scatac-seq,,,,,,,"Donor 3, Septum, scATAC-seq",GSM7036814,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Interventricular septum,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-MW200928E2-175-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036814,NONE,"GSE224996, GSE224997",0,SRX19329971,Donor 3,Interventricular septum,Male,55,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238920,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329971
donor_3_rv_scatac-seq,,,,,,,"Donor 3, RV, scATAC-seq",GSM7036815,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Right ventricle,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-MW200928E2-367-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036815,NONE,"GSE224996, GSE224997",0,SRX19329972,Donor 3,Right ventricle,Male,55,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238919,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329972
donor_3_lv_scatac-seq,,,,,,,"Donor 3, LV, scATAC-seq",GSM7036816,Public on Feb 10 2023,Feb 10 2023,Feb 28 2023,SRA,1,Left ventricle,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-MW200928E2-407-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036816,NONE,"GSE224996, GSE224997",0,SRX19329973,Donor 3,Left ventricle,Male,55,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238918,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329973
donor_3_apex_scatac-seq,,,,,,,"Donor 3, Apex, scATAC-seq",GSM7036817,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Apex,Homo sapiens,9606,genomic DNA,"scATAC-seq libraries were prepared according to v1 of the manufacturer’s guidelines for the Chromium Next GEM Single Cell ATAC Reagent Kits (10X Genomics), with the modification that we started from nuclei that were isolated. Between 9,300 and 25,000 nuclei were tagmented using Transposition Mix (10X Genomics) at 37°C for 1 h and loaded on the Chromium controller. We targeted between 6,000 and 10,000 nuclei for library preparation. QC was performed on final ATAC-seq libraries using a Qubit Fluor ...","10X Genomics, SP-HE-MW200928E2-408-ATAC, HeartAtlas_ATAC_barcodes_03092023.tsv.gz, HeartAtlas_ATAC_tilenames_03092023.tsv, HeartAtlas_ATAC_counts.mtx.gz","FastQ files from 12 sequencing experiments were individually processed using 10x Genomics CellRanger-atac 1.2.0101. We used the command cellranger-atac count to align the fastq files to human reference genome hg38, followed by marking and removing duplicate reads, and producing a fragment file containing the mapped location of each unique fragment in each nucleus.",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7036817,NONE,"GSE224996, GSE224997",0,SRX19329974,Donor 3,Apex,Male,55,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238917,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329974
