sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,subject_status,tissue,cell_type,activation,chip_antibody,genome_build,supplementary_files_format_and_content,biosample,sra
chip-seq_nfat1_act_5_h_rep1,,,,,,,ChIP-seq_NFAT1_Act.5 h_rep1,GSM3258563,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_NFAT1_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 4033,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258563,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258563/suppl/GSM3258563_E5h_NFAT1_042616_3.csv.gz,"GSE116695, GSE116698",0,SRX4345356,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,NFAT1 Cell Signaling #5861,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621070,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345356
chip-seq_nfat1_act_5_h_rep2,,,,,,,ChIP-seq_NFAT1_Act.5 h_rep2,GSM3258564,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_NFAT1_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2015,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258564,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258564/suppl/GSM3258564_E5h_NFAT1_083015.csv.gz,"GSE116695, GSE116698",0,SRX4345357,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,NFAT1 Cell Signaling #5861,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621069,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345357
chip-seq_nfat1_act_5_h_without_cd28_rep1,,,,,,,ChIP-seq_NFAT1_Act.5 h_without_CD28_rep1,GSM3258565,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_NFAT1_Act.5 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 4034,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258565,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258565/suppl/GSM3258565_A5h_NFAT1_042616_3.csv.gz,"GSE116695, GSE116698",0,SRX4345358,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 antibody,NFAT1 Cell Signaling #5861,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621068,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345358
chip-seq_nfat1_act_5_h_without_cd28_rep2,,,,,,,ChIP-seq_NFAT1_Act.5 h_without_CD28_rep2,GSM3258566,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_NFAT1_Act.5 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2016,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258566,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258566/suppl/GSM3258566_A5h_NFAT1_083015.csv.gz,"GSE116695, GSE116698",0,SRX4345359,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 antibody,NFAT1 Cell Signaling #5861,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621067,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345359
chip-seq_nfat2_act_5_h_rep1,,,,,,,ChIP-seq_NFAT2_Act.5 h_rep1,GSM3258567,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_NFAT2_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 4031,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258567,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258567/suppl/GSM3258567_E5h_NFAT2_050916_3.csv.gz,"GSE116695, GSE116698",0,SRX4345360,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,NFAT2 Cell Signaling #8032,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621066,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345360
chip-seq_nfat2_act_5_h_rep2,,,,,,,ChIP-seq_NFAT2_Act.5 h_rep2,GSM3258568,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_NFAT2_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2017,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258568,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258568/suppl/GSM3258568_E5h_NFAT2_083015.csv.gz,"GSE116695, GSE116698",0,SRX4345361,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,NFAT2 Cell Signaling #8032,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621065,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345361
chip-seq_cfos_act_5_h,,,,,,,ChIP-seq_cFOS_Act.5 h,GSM3258569,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_cFOS_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 4030,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258569,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258569/suppl/GSM3258569_E5h_cFos_010816_3.csv.gz,"GSE116695, GSE116698",0,SRX4345362,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,cFOS Cell Signaling #2250,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621064,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345362
chip-seq_junb_act_5_h,,,,,,,ChIP-seq_JUNB_Act.5 h,GSM3258570,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_JUNB_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 4454,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258570,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258570/suppl/GSM3258570_JunB_E5h_2.csv.gz,"GSE116695, GSE116698",0,SRX4345363,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,JUNB Cell Signaling #3753,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621063,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345363
chip-seq_cmyc_act_5_h,,,,,,,ChIP-seq_cMYC_Act.5 h,GSM3258571,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_cMYC_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 4103,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258571,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258571/suppl/GSM3258571_E5h_cMyc_030816_2.csv.gz,"GSE116695, GSE116698",0,SRX4345364,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,cMYC Cell Signaling #2250,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621062,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345364
chip-seq_nfƙb_act_5_h_rep1,,,,,,,ChIP-seq_NFƘB_Act.5 h_rep1,GSM3258572,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_NFƘB_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 4037,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258572,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258572/suppl/GSM3258572_E5h_p50_030816_3.csv.gz,"GSE116695, GSE116698",0,SRX4345365,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,NFƘB p50 Cell Signaling #12540,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621061,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345365
chip-seq_nfƙb_act_5_h_rep2,,,,,,,ChIP-seq_NFƘB_Act.5 h_rep2,GSM3258573,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_NFƘB_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2019,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258573,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258573/suppl/GSM3258573_E5h_p50_083015.csv.gz,"GSE116695, GSE116698",0,SRX4345366,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,NFƘB p50 Cell Signaling #12540,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621060,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345366
