sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,chip_antibody,chip_antibody_vendor,chip_antibody_cat_,chip_antibody_lot_batch_,genome_build,biosample,sra
ar_df_1816_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856208,SRX8406421,AR_DF_1816_T,GSM4569839,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_1816T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569839,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569839/suppl/GSM4569839_AR_DF_1816_T.bw,GSE130408,0,SRX8406421,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032555,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406421
ar_df_1853_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856209,SRX8406422,AR_DF_1853_T,GSM4569840,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_1853T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569840,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569840/suppl/GSM4569840_AR_DF_1853_T.bw,GSE130408,0,SRX8406422,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032554,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406422
ar_df_1592_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856210,SRX8406423,AR_DF_1592_T,GSM4569841,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_1592T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569841,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569841/suppl/GSM4569841_AR_DF_1592_T.bw,GSE130408,0,SRX8406423,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032553,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406423
ar_df_2752_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856211,SRX8406424,AR_DF_2752_T,GSM4569842,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_2752T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569842,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569842/suppl/GSM4569842_AR_DF_2752_T.bw,GSE130408,0,SRX8406424,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032552,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406424
ar_df_2815_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856212,SRX8406425,AR_DF_2815_T,GSM4569843,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_2815T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569843,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569843/suppl/GSM4569843_AR_DF_2815_T.bw,GSE130408,0,SRX8406425,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032551,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406425
ar_df_4024_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856213,SRX8406426,AR_DF_4024_T,GSM4569844,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_4024T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569844,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569844/suppl/GSM4569844_AR_DF_4024_T.bw,GSE130408,0,SRX8406426,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032550,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406426
ar_nki_1_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856214,SRX8406427,AR_NKI_1_T,GSM4569845,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_1_AR_Tumor,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569845,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569845/suppl/GSM4569845_AR_NKI_1_T.bw,GSE130408,0,SRX8406427,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032549,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406427
ar_nki_5_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856215,SRX8406428,AR_NKI_5_T,GSM4569846,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_5_AR_Tumor,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569846,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569846/suppl/GSM4569846_AR_NKI_5_T.bw,GSE130408,0,SRX8406428,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032584,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406428
ar_nki_7_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856216,SRX8406445,AR_NKI_7_T,GSM4569847,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_7_AR_Tumor,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569847,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569847/suppl/GSM4569847_AR_NKI_7_T.bw,GSE130408,0,SRX8406445,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032583,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406445
ar_nki_13_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856217,SRX8406446,AR_NKI_13_T,GSM4569848,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_13_AR_Tumor,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569848,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569848/suppl/GSM4569848_AR_NKI_13_T.bw,GSE130408,0,SRX8406446,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032582,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406446
ar_nki_19_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856218,SRX8406447,AR_NKI_19_T,GSM4569849,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_19_AR_Tumor,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569849,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569849/suppl/GSM4569849_AR_NKI_19_T.bw,GSE130408,0,SRX8406447,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032581,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406447
ar_nki_23_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856219,SRX8406448,AR_NKI_23_T,GSM4569850,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_23_AR_Tumor,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569850,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569850/suppl/GSM4569850_AR_NKI_23_T.bw,GSE130408,0,SRX8406448,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032580,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406448
ar_nki_27_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856220,SRX8406449,AR_NKI_27_T,GSM4569851,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_27_AR_Tumor,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569851,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569851/suppl/GSM4569851_AR_NKI_27_T.bw,GSE130408,0,SRX8406449,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032579,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406449
ar_nki_29_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856221,SRX8406450,AR_NKI_29_T,GSM4569852,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_29_AR_Tumor,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569852,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569852/suppl/GSM4569852_AR_NKI_29_T.bw,GSE130408,0,SRX8406450,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032578,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406450
ar_uw_pdx_35,ChIP,Homo sapiens,SINGLE,SRA,SRR11856222,SRX8406451,AR_UW_PDX_35,GSM4569853,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,CRPC PDX,Homo sapiens,9606,genomic DNA,AR_PDX_35,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569853,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569853/suppl/GSM4569853_AR_UW_PDX_35.bw,GSE130408,0,SRX8406451,CRPC pdx,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032577,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406451
ar_uw_pdx_70,ChIP,Homo sapiens,SINGLE,SRA,SRR11856223,SRX8406452,AR_UW_PDX_70,GSM4569854,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,CRPC PDX,Homo sapiens,9606,genomic DNA,AR_PDX_70,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569854,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569854/suppl/GSM4569854_AR_UW_PDX_70.bw,GSE130408,0,SRX8406452,CRPC pdx,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032576,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406452
ar_uw_pdx_77,ChIP,Homo sapiens,SINGLE,SRA,SRR11856224,SRX8406453,AR_UW_PDX_77,GSM4569855,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,CRPC PDX,Homo sapiens,9606,genomic DNA,AR_PDX_77,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569855,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569855/suppl/GSM4569855_AR_UW_PDX_77.bw,GSE130408,0,SRX8406453,CRPC pdx,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032575,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406453
ar_uw_pdx_58,ChIP,Homo sapiens,SINGLE,SRA,SRR11856225,SRX8406454,AR_UW_PDX_58,GSM4569856,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,CRPC PDX,Homo sapiens,9606,genomic DNA,AR_PDX_58,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569856,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569856/suppl/GSM4569856_AR_UW_PDX_58.bw,GSE130408,0,SRX8406454,CRPC pdx,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032574,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406454
ar_uw_pdx_78,ChIP,Homo sapiens,SINGLE,SRA,SRR11856226,SRX8406455,AR_UW_PDX_78,GSM4569857,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,CRPC PDX,Homo sapiens,9606,genomic DNA,AR_PDX_78,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569857,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569857/suppl/GSM4569857_AR_UW_PDX_78.bw,GSE130408,0,SRX8406455,CRPC pdx,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032573,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406455
ar_uw_pdx_81,ChIP,Homo sapiens,SINGLE,SRA,SRR11856227,SRX8406456,AR_UW_PDX_81,GSM4569858,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,CRPC PDX,Homo sapiens,9606,genomic DNA,AR_PDX_81,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569858,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569858/suppl/GSM4569858_AR_UW_PDX_81.bw,GSE130408,0,SRX8406456,CRPC pdx,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032572,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406456
