sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,species,donor_id,age,sex,library_type,sra,biosample
m1_donor2_neun_multiome_atac_,,,,,,,M1_donor2_neun (Multiome ATAC),GSM7156228,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,genomic DNA,"NeuN+ sorted nuclei, M1_donor2_neun_barcodes.tsv.gz, M1_donor2_neun_features.tsv.gz, M1_donor2_neun_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156228,NONE,GSE229169,0,SRX19907360,primary motor cortex,Human,H19.30.002/UW7060,29 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907360,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115793
m1_donor2_neun_multiome_gene_expression_,,,,,,,M1_donor2_neun (Multiome Gene Expression),GSM7156229,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,total RNA,"NeuN+ sorted nuclei, M1_donor2_neun_barcodes.tsv.gz, M1_donor2_neun_features.tsv.gz, M1_donor2_neun_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156229,NONE,GSE229169,0,SRX19907363,primary motor cortex,Human,H19.30.002/UW7060,29 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907363,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115792
m1_donor3_neun_multiome_atac_,,,,,,,M1_donor3_neun (Multiome ATAC),GSM7156230,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,genomic DNA,"NeuN+ sorted nuclei, M1_donor3_neun_barcodes.tsv.gz, M1_donor3_neun_features.tsv.gz, M1_donor3_neun_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156230,NONE,GSE229169,0,SRX19907359,primary motor cortex,Human,H19.30.004,58 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907359,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115791
m1_donor3_neun_multiome_gene_expression_,,,,,,,M1_donor3_neun (Multiome Gene Expression),GSM7156231,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,total RNA,"NeuN+ sorted nuclei, M1_donor3_neun_barcodes.tsv.gz, M1_donor3_neun_features.tsv.gz, M1_donor3_neun_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156231,NONE,GSE229169,0,SRX19907361,primary motor cortex,Human,H19.30.004,58 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907361,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115790
m1_dheni_multiome_atac_,,,,,,,M1_Dheni (Multiome ATAC),GSM7156232,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Macaca mulatta,9544,genomic DNA,"M1_Dheni_barcodes.tsv.gz, M1_Dheni_features.tsv.gz, M1_Dheni_matrix.mtx.gz",GPL27943,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156232,NONE,GSE229169,0,SRX19907362,primary motor cortex,Macaque,Q21.26.019/A17112,6 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907362,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115789
m1_dheni_multiome_gene_expression_,,,,,,,M1_Dheni (Multiome Gene Expression),GSM7156233,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Macaca mulatta,9544,total RNA,"M1_Dheni_barcodes.tsv.gz, M1_Dheni_features.tsv.gz, M1_Dheni_matrix.mtx.gz",GPL27943,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156233,NONE,GSE229169,0,SRX19907364,primary motor cortex,Macaque,Q21.26.019/A17112,6 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907364,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115788
m1_dheni_neun_multiome_atac_,,,,,,,M1_Dheni_neun (Multiome ATAC),GSM7156234,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Macaca mulatta,9544,genomic DNA,"NeuN+ sorted nuclei, M1_Dheni_neun_barcodes.tsv.gz, M1_Dheni_neun_features.tsv.gz, M1_Dheni_neun_matrix.mtx.gz",GPL27943,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156234,NONE,GSE229169,0,SRX19907365,primary motor cortex,Macaque,Q21.26.019/A17112,6 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907365,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115787
m1_dheni_neun_multiome_gene_expression_,,,,,,,M1_Dheni_neun (Multiome Gene Expression),GSM7156235,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Macaca mulatta,9544,total RNA,"NeuN+ sorted nuclei, M1_Dheni_neun_barcodes.tsv.gz, M1_Dheni_neun_features.tsv.gz, M1_Dheni_neun_matrix.mtx.gz",GPL27943,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156235,NONE,GSE229169,0,SRX19907367,primary motor cortex,Macaque,Q21.26.019/A17112,6 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907367,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115786
m1_mac3_multiome_atac_,,,,,,,M1_Mac3 (Multiome ATAC),GSM7156236,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Macaca mulatta,9544,genomic DNA,"M1_mac3_barcodes.tsv.gz, M1_mac3_features.tsv.gz, M1_mac3_matrix.mtx.gz",GPL27943,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156236,NONE,GSE229169,0,SRX19907368,primary motor cortex,Macaque,70313,14 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907368,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115785
m1_mac3_multiome_gene_expression_,,,,,,,M1_Mac3 (Multiome Gene Expression),GSM7156237,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Macaca mulatta,9544,total RNA,"M1_mac3_barcodes.tsv.gz, M1_mac3_features.tsv.gz, M1_mac3_matrix.mtx.gz",GPL27943,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156237,NONE,GSE229169,0,SRX19907369,primary motor cortex,Macaque,70313,14 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907369,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115784
m1_r2_multiome_atac_,,,,,,,M1_R2 (Multiome ATAC),GSM7156238,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Macaca mulatta,9544,genomic DNA,"M1_R2_barcodes.tsv.gz, M1_R2_features.tsv.gz, M1_R2_matrix.mtx.gz",GPL27943,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156238,NONE,GSE229169,0,SRX19907366,primary motor cortex,Macaque,QM21.26.023/A17114,6 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907366,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115783
m1_r2_multiome_gene_expression_,,,,,,,M1_R2 (Multiome Gene Expression),GSM7156239,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Macaca mulatta,9544,total RNA,"M1_R2_barcodes.tsv.gz, M1_R2_features.tsv.gz, M1_R2_matrix.mtx.gz",GPL27943,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156239,NONE,GSE229169,0,SRX19907370,primary motor cortex,Macaque,QM21.26.023/A17114,6 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907370,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115782
m1_peregrine_rep1_multiome_atac_,,,,,,,M1_Peregrine_rep1 (Multiome ATAC),GSM7156240,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Callithrix jacchus,9483,genomic DNA,"M1_Peregrine_rep1_barcodes.tsv.gz, M1_Peregrine_rep1_features.tsv.gz, M1_Peregrine_rep1_matrix.mtx.gz",GPL28240,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156240,NONE,GSE229169,0,SRX19907371,primary motor cortex,Marmoset,Peregrine,5y7m,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907371,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115781
m1_peregrine_rep1_multiome_gene_expression_,,,,,,,M1_Peregrine_rep1 (Multiome Gene Expression),GSM7156241,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Callithrix jacchus,9483,total RNA,"M1_Peregrine_rep1_barcodes.tsv.gz, M1_Peregrine_rep1_features.tsv.gz, M1_Peregrine_rep1_matrix.mtx.gz",GPL28240,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156241,NONE,GSE229169,0,SRX19907339,primary motor cortex,Marmoset,Peregrine,5y7m,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907339,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115780
m1_peregrine_rep2_multiome_atac_,,,,,,,M1_Peregrine_rep2 (Multiome ATAC),GSM7156242,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Callithrix jacchus,9483,genomic DNA,"replication of M1_Peregrine sample, M1_Peregrine_rep2_barcodes.tsv.gz, M1_Peregrine_rep2_features.tsv.gz, M1_Peregrine_rep2_matrix.mtx.gz",GPL28240,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156242,NONE,GSE229169,0,SRX19907340,primary motor cortex,Marmoset,Peregrine,5y7m,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907340,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115779
m1_peregrine_rep2_multiome_gene_expression_,,,,,,,M1_Peregrine_rep2 (Multiome Gene Expression),GSM7156243,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Callithrix jacchus,9483,total RNA,"replication of M1_Peregrine sample, M1_Peregrine_rep2_barcodes.tsv.gz, M1_Peregrine_rep2_features.tsv.gz, M1_Peregrine_rep2_matrix.mtx.gz",GPL28240,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156243,NONE,GSE229169,0,SRX19907342,primary motor cortex,Marmoset,Peregrine,5y7m,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907342,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115778
m1_webster_multiome_atac_,,,,,,,M1_Webster (Multiome ATAC),GSM7156244,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Callithrix jacchus,9483,genomic DNA,"M1_Webster_barcodes.tsv.gz, M1_Webster_features.tsv.gz, M1_Webster_matrix.mtx.gz",GPL28240,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156244,NONE,GSE229169,0,SRX19907343,primary motor cortex,Marmoset,Webster,4y0m,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907343,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115777
m1_webster_multiome_gene_expression_,,,,,,,M1_Webster (Multiome Gene Expression),GSM7156245,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Callithrix jacchus,9483,total RNA,"M1_Webster_barcodes.tsv.gz, M1_Webster_features.tsv.gz, M1_Webster_matrix.mtx.gz",GPL28240,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156245,NONE,GSE229169,0,SRX19907345,primary motor cortex,Marmoset,Webster,4y0m,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907345,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115776
m1_meadow_multiome_atac_,,,,,,,M1_Meadow (Multiome ATAC),GSM7156246,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Callithrix jacchus,9483,genomic DNA,"M1_Meadow_barcodes.tsv.gz, M1_Meadow_features.tsv.gz, M1_Meadow_matrix.mtx.gz",GPL28240,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156246,NONE,GSE229169,0,SRX19907346,primary motor cortex,Marmoset,Meadow,6y6m,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907346,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115775
m1_meadow_multiome_gene_expression_,,,,,,,M1_Meadow (Multiome Gene Expression),GSM7156247,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Callithrix jacchus,9483,total RNA,"M1_Meadow_barcodes.tsv.gz, M1_Meadow_features.tsv.gz, M1_Meadow_matrix.mtx.gz",GPL28240,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156247,NONE,GSE229169,0,SRX19907347,primary motor cortex,Marmoset,Meadow,6y6m,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907347,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115774
mop_2c_rep1_multiome_atac_,,,,,,,Mop_2C_rep1 (Multiome ATAC),GSM7156248,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Mus musculus,10090,genomic DNA,"Mop_2C_rep1_barcodes.tsv.gz, Mop_2C_rep1_features.tsv.gz, Mop_2C_rep1_matrix.mtx.gz",GPL24247,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156248,NONE,GSE229169,0,SRX19907344,primary motor cortex,Mouse,4 mice are pooled,P56,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907344,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115773
mop_2c_rep1_multiome_gene_expression_,,,,,,,Mop_2C_rep1 (Multiome Gene Expression),GSM7156249,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Mus musculus,10090,total RNA,"Mop_2C_rep1_barcodes.tsv.gz, Mop_2C_rep1_features.tsv.gz, Mop_2C_rep1_matrix.mtx.gz",GPL24247,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156249,NONE,GSE229169,0,SRX19907348,primary motor cortex,Mouse,4 mice are pooled,P56,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907348,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115772
mop_3c_rep1_multiome_atac_,,,,,,,Mop_3C_rep1 (Multiome ATAC),GSM7156250,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Mus musculus,10090,genomic DNA,"Mop_3C_rep1_barcodes.tsv.gz, Mop_3C_rep1_features.tsv.gz, Mop_3C_rep1_matrix.mtx.gz",GPL24247,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156250,NONE,GSE229169,0,SRX19907349,primary motor cortex,Mouse,4 mice are pooled,P56,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907349,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115771
