sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,donor_status,tissue,genome_build,supplementary_files_format_and_content,biosample,sra
l6_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321252,SRX10676389,L6_rep1,GSM5264622,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL6_rep1_EKDL190133819-1a-AK16538-AK14824_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264622,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264622/suppl/GSM5264622_LiverL6_rep1_EKDL190133819-1a-AK16538-AK14824_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264622/suppl/GSM5264622_LiverL6_rep1_EKDL190133819-1a-AK16538-AK14824_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676389,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867227,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676389
l6_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321253,SRX10676390,L6_rep2,GSM5264623,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL6_rep2_EKDL190133819-1a-AK16539-AK14824_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264623,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264623/suppl/GSM5264623_LiverL6_rep2_EKDL190133819-1a-AK16539-AK14824_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264623/suppl/GSM5264623_LiverL6_rep2_EKDL190133819-1a-AK16539-AK14824_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676390,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867225,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676390
l7_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321254,SRX10676391,L7_rep1,GSM5264624,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL7_rep1_EKDL190133819-1a-AK1575-AK13180_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264624,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264624/suppl/GSM5264624_LiverL7_rep1_EKDL190133819-1a-AK1575-AK13180_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264624/suppl/GSM5264624_LiverL7_rep1_EKDL190133819-1a-AK1575-AK13180_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676391,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867224,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676391
l7_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321255,SRX10676392,L7_rep2,GSM5264625,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL7_rep2_EKDL190133819-1a-AK16533-AK13180_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264625,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264625/suppl/GSM5264625_LiverL7_rep2_EKDL190133819-1a-AK16533-AK13180_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264625/suppl/GSM5264625_LiverL7_rep2_EKDL190133819-1a-AK16533-AK13180_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676392,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867223,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676392
l8_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321256,SRX10676393,L8_rep1,GSM5264626,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL8_rep1_EKDL190133819-1a-AK1554-AK17202_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264626,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264626/suppl/GSM5264626_LiverL8_rep1_EKDL190133819-1a-AK1554-AK17202_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264626/suppl/GSM5264626_LiverL8_rep1_EKDL190133819-1a-AK1554-AK17202_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676393,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867245,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676393
l8_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321257,SRX10676394,L8_rep2,GSM5264627,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL8_rep2_EKDL190133819-1a-AK1750-AK17202_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264627,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264627/suppl/GSM5264627_LiverL8_rep2_EKDL190133819-1a-AK1750-AK17202_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264627/suppl/GSM5264627_LiverL8_rep2_EKDL190133819-1a-AK1750-AK17202_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676394,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867243,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676394
l9_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321258,SRX10676395,L9_rep1,GSM5264628,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL9rep1_EKDL190133819-1a-AK1554-AK17204_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264628,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264628/suppl/GSM5264628_LiverL9_rep1_EKDL190133819-1a-AK1554-AK17204_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264628/suppl/GSM5264628_LiverL9_rep1_EKDL190133819-1a-AK1554-AK17204_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676395,donor diagnosed with T2D,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867242,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676395
l9_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321259,SRX10676396,L9_rep2,GSM5264629,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL9rep2_EKDL190133819-1a-AK1569-AK17204_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264629,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264629/suppl/GSM5264629_LiverL9_rep2_EKDL190133819-1a-AK1569-AK17204_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264629/suppl/GSM5264629_LiverL9_rep2_EKDL190133819-1a-AK1569-AK17204_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676396,donor diagnosed with T2D,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867241,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676396
l10_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321260,SRX10676397,L10_rep1,GSM5264630,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL10_rep1_EKDL190133819-1a-AK1576-AK17202_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264630,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264630/suppl/GSM5264630_LiverL10_rep1_EKDL190133819-1a-AK1576-AK17202_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264630/suppl/GSM5264630_LiverL10_rep1_EKDL190133819-1a-AK1576-AK17202_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676397,donor diagnosed with T2D,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867226,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676397
l10_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321261,SRX10676398,L10_rep2,GSM5264631,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL10_rep2_EKDL190133819-1a-7UDI1214-AK17202_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264631,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264631/suppl/GSM5264631_LiverL10_rep2_EKDL190133819-1a-7UDI1214-AK17202_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264631/suppl/GSM5264631_LiverL10_rep2_EKDL190133819-1a-7UDI1214-AK17202_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676398,donor diagnosed with T2D,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867239,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676398
l11_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321262,SRX10676399,L11_rep1,GSM5264632,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL11_rep1_EKDL190133819-1a-AK1972-AK14824_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264632,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264632/suppl/GSM5264632_LiverL11_rep1_EKDL190133819-1a-AK1972-AK14824_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264632/suppl/GSM5264632_LiverL11_rep1_EKDL190133819-1a-AK1972-AK14824_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676399,donor diagnosed with T2D,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867238,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676399
