sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,genome_build,biosample,sra
lta_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909986,SRX8456472,LTA challenge Donor  1-1,GSM4646365,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with  LTA for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646365,NONE,"GSE153520, GSE153522",0,SRX8456472,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086994,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456472
lta_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909985,SRX8456473,LTA challenge Donor 1-2,GSM4646366,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with LTA for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646366,NONE,"GSE153520, GSE153522",0,SRX8456473,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086995,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456473
r848_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909984,SRX8456474,R848 challenge Donor  1-1,GSM4646367,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with  R848 for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646367,NONE,"GSE153520, GSE153522",0,SRX8456474,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086996,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456474
r848_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909983,SRX8456475,R848 challenge Donor 1-2,GSM4646368,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with R848 for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646368,NONE,"GSE153520, GSE153522",0,SRX8456475,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086997,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456475
whole_blood_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909982,SRX8456476,Whole Blood Donor 1-1,GSM4646369,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Untreated whole blood from healthy donor,Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646369,NONE,"GSE153520, GSE153522",0,SRX8456476,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086998,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456476
whole_blood_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909981,SRX8456477,Whole Blood Donor 1-2,GSM4646370,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Untreated whole blood from healthy donor,Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646370,NONE,"GSE153520, GSE153522",0,SRX8456477,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086999,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456477
sa_challenge_10_1_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909980,SRX8456478,SA challenge 10^1 Donor 1-1,GSM4646371,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Whole blood challenged with 10^1 cells of Staphylococcus aureus,Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646371,NONE,"GSE153520, GSE153522",0,SRX8456478,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087000,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456478
sa_challenge_10_1_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909979,SRX8456479,SA challenge 10^1 Donor 1-2,GSM4646372,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Whole blood challenged with 10^1 cells of Staphylococcus aureus,Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646372,NONE,"GSE153520, GSE153522",0,SRX8456479,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087001,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456479
sa_challenge_10_3_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909978,SRX8456480,SA challenge 10^3 Donor 1-1,GSM4646373,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Whole blood challenged with 10^3 cells of Staphylococcus aureus,Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646373,NONE,"GSE153520, GSE153522",0,SRX8456480,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087002,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456480
sa_challenge_10_3_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909977,SRX8456481,SA challenge 10^3 Donor 1-2,GSM4646374,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Whole blood challenged with 10^3 cells of Staphylococcus aureus,Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646374,NONE,"GSE153520, GSE153522",0,SRX8456481,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087003,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456481
sa_challenge_10_5_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909975,SRX8456483,SA challenge 10^5 Donor 1-1,GSM4646375,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Whole blood challenged with 10^5 cells of Staphylococcus aureus,Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646375,NONE,"GSE153520, GSE153522",0,SRX8456483,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087004,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456483
sa_challenge_10_5_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909974,SRX8456484,SA challenge 10^5 Donor 1-2,GSM4646376,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Whole blood challenged with 10^5 cells of Staphylococcus aureus,Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646376,NONE,"GSE153520, GSE153522",0,SRX8456484,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087005,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456484
ec_1h_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909973,SRX8456485,EC 1h challenge Donor 1-1,GSM4646377,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,"Escherichia coli challenged whole blood, 1 hour",Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646377,NONE,"GSE153520, GSE153522",0,SRX8456485,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087006,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456485
ec_1h_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909972,SRX8456486,EC 1h challenge Donor 1-2,GSM4646378,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,"Escherichia coli challenged whole blood, 1 hour",Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646378,NONE,"GSE153520, GSE153522",0,SRX8456486,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087007,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456486
ec_4h_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909971,SRX8456487,EC 4h challenge Donor 1-1,GSM4646379,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,"Escherichia coli challenged whole blood, 4 hour",Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646379,NONE,"GSE153520, GSE153522",0,SRX8456487,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087008,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456487
ec_4h_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909970,SRX8456488,EC 4h challenge Donor 1-2,GSM4646380,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,"Escherichia coli challenged whole blood, 4 hour",Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646380,NONE,"GSE153520, GSE153522",0,SRX8456488,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087009,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456488
noec_1h_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909969,SRX8456489,noEC 1h challenge Donor 1-1,GSM4646381,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,"Untreated whole blood, 1 hour",Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646381,NONE,"GSE153520, GSE153522",0,SRX8456489,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087010,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456489
noec_1h_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909968,SRX8456490,noEC 1h challenge Donor 1-2,GSM4646382,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,"Untreated whole blood, 1 hour",Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646382,NONE,"GSE153520, GSE153522",0,SRX8456490,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087011,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456490
noec_4h_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909967,SRX8456491,noEC 4h challenge Donor 1-1,GSM4646383,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,"Untreated whole blood, 4 hour",Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646383,NONE,"GSE153520, GSE153522",0,SRX8456491,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087012,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456491
noec_4h_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909966,SRX8456492,noEC 4h challenge Donor 1-2,GSM4646384,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,"Untreated whole blood, 4 hour",Homo sapiens,9606,tissue: whole blood,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646384,NONE,"GSE153520, GSE153522",0,SRX8456492,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087013,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456492
bgp_challenge_donor_2-1,other,Homo sapiens,PAIRED,SRA,SRR11909964,SRX8456494,BGP challenge Donor  2-1,GSM4646385,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with  BGP for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646385,NONE,"GSE153520, GSE153522",0,SRX8456494,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087014,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456494
bgp_challenge_donor_2-2,other,Homo sapiens,PAIRED,SRA,SRR11909963,SRX8456495,BGP challenge Donor 2-2,GSM4646386,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with BGP for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646386,NONE,"GSE153520, GSE153522",0,SRX8456495,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087015,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456495
control_donor_2-1,other,Homo sapiens,PAIRED,SRA,SRR11909962,SRX8456496,Control Donor 2-1,GSM4646387,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy untreated neutrophils,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646387,NONE,"GSE153520, GSE153522",0,SRX8456496,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087016,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456496
control_donor_2-2,other,Homo sapiens,PAIRED,SRA,SRR11909961,SRX8456497,Control Donor 2-2,GSM4646388,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy untreated neutrophils,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646388,NONE,"GSE153520, GSE153522",0,SRX8456497,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087017,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456497
flag_challenge_donor_2-1,other,Homo sapiens,PAIRED,SRA,SRR11909960,SRX8456498,FLAG challenge Donor 2-1,GSM4646389,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with FLAG for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646389,NONE,"GSE153520, GSE153522",0,SRX8456498,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087018,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456498
flag_challenge_donor_2-2,other,Homo sapiens,PAIRED,SRA,SRR11909959,SRX8456499,FLAG challenge Donor 2-2,GSM4646390,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with FLAG for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646390,NONE,"GSE153520, GSE153522",0,SRX8456499,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087019,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456499
hmgb1_challenge_donor_2-1,other,Homo sapiens,PAIRED,SRA,SRR11909958,SRX8456500,HMGB1 challenge Donor 2-1,GSM4646391,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with HMGB1 for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646391,NONE,"GSE153520, GSE153522",0,SRX8456500,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087020,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456500
hmgb1_challenge_donor_2-2,other,Homo sapiens,PAIRED,SRA,SRR11909957,SRX8456501,HMGB1 challenge Donor 2-2,GSM4646392,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with HMGB1 for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646392,NONE,"GSE153520, GSE153522",0,SRX8456501,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087021,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456501
lps_challenge_donor_2-1,other,Homo sapiens,PAIRED,SRA,SRR11909956,SRX8456502,LPS challenge Donor 2-1,GSM4646393,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with LPS for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646393,NONE,"GSE153520, GSE153522",0,SRX8456502,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15087022,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456502
