sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,donor,gender,genome_build,supplementary_files_format_and_content,biosample,sra
c_2_r,,,,,,,C_2_r,GSM3381843,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381843,NONE,"GSE119731, GSE119734",0,SRX4665788,Peripheral Blood,GM-CSF positive CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026263,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665788
c_3_p,,,,,,,C_3_p,GSM3381844,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381844,NONE,"GSE119731, GSE119734",0,SRX4665789,Peripheral Blood,GM-CSF negative CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026262,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665789
c_3_q,,,,,,,C_3_q,GSM3381845,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381845,NONE,"GSE119731, GSE119734",0,SRX4665790,Peripheral Blood,GM-CSF negative CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026317,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665790
c_3_r,,,,,,,C_3_r,GSM3381846,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381846,NONE,"GSE119731, GSE119734",0,SRX4665791,Peripheral Blood,GM-CSF negative CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026316,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665791
c_4_p,,,,,,,C_4_p,GSM3381847,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381847,NONE,"GSE119731, GSE119734",0,SRX4665792,Peripheral Blood,Bulk CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026315,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665792
c_4_q,,,,,,,C_4_q,GSM3381848,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381848,NONE,"GSE119731, GSE119734",0,SRX4665793,Peripheral Blood,Bulk CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026314,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665793
c_4_r,,,,,,,C_4_r,GSM3381849,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381849,NONE,"GSE119731, GSE119734",0,SRX4665794,Peripheral Blood,Bulk CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026313,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665794
c_5_p,,,,,,,C_5_p,GSM3381850,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381850,NONE,"GSE119731, GSE119734",0,SRX4665795,Peripheral Blood,Memory CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026312,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665795
c_5_q,,,,,,,C_5_q,GSM3381851,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381851,NONE,"GSE119731, GSE119734",0,SRX4665796,Peripheral Blood,Memory CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026311,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665796
c_5_r,,,,,,,C_5_r,GSM3381852,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381852,NONE,"GSE119731, GSE119734",0,SRX4665797,Peripheral Blood,Memory CD4 T cells,C,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026310,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665797
d_1_p,,,,,,,D_1_p,GSM3381853,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381853,NONE,"GSE119731, GSE119734",0,SRX4665798,Peripheral Blood,Naive CD4 T cells,D,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026309,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665798
d_1_q,,,,,,,D_1_q,GSM3381854,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381854,NONE,"GSE119731, GSE119734",0,SRX4665799,Peripheral Blood,Naive CD4 T cells,D,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026308,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665799
d_1_r,,,,,,,D_1_r,GSM3381855,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381855,NONE,"GSE119731, GSE119734",0,SRX4665800,Peripheral Blood,Naive CD4 T cells,D,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026349,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665800
d_2_p,,,,,,,D_2_p,GSM3381856,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381856,NONE,"GSE119731, GSE119734",0,SRX4665801,Peripheral Blood,GM-CSF positive CD4 T cells,D,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026348,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665801
d_2_q,,,,,,,D_2_q,GSM3381857,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381857,NONE,"GSE119731, GSE119734",0,SRX4665802,Peripheral Blood,GM-CSF positive CD4 T cells,D,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026347,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665802
