sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,assembly,supplementary_files_format_and_content,biosample,sra
st003_naive_1yr,,,,,,,ST003_Naive_1yr,GSM7646237,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646237,NONE,GSE237729,0,SRX21077903,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593051,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077903
st003_naive_baseline,,,,,,,ST003_Naive_baseline,GSM7646238,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646238,NONE,GSE237729,0,SRX21077904,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593050,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077904
st013_hiv_a03_rlrp_1yr,,,,,,,ST013_HIV_A03_RLRP_1yr,GSM7646239,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646239,NONE,GSE237729,0,SRX21077905,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593049,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077905
st013_hiv_a03_rlrp_baseline,,,,,,,ST013_HIV_A03_RLRP_baseline,GSM7646240,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646240,NONE,GSE237729,0,SRX21077906,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593047,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077906
st013_hiv_b07_gpgh_1yr,,,,,,,ST013_HIV_B07_GPGH_1yr,GSM7646241,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646241,NONE,GSE237729,0,SRX21077907,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593046,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077907
st013_hiv_b07_gpgh_baseline,,,,,,,ST013_HIV_B07_GPGH_baseline,GSM7646242,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646242,NONE,GSE237729,0,SRX21077908,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593045,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077908
st013_naive_1yr,,,,,,,ST013_Naive_1yr,GSM7646243,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646243,NONE,GSE237729,0,SRX21077909,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593043,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077909
st013_naive_baseline,,,,,,,ST013_Naive_baseline,GSM7646244,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646244,NONE,GSE237729,0,SRX21077910,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593042,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077910
suk036043_hiv_b57_kafs_1yr,,,,,,,SUK036043_HIV_B57_KAFS_1yr,GSM7646245,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646245,NONE,GSE237729,0,SRX21077911,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593041,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077911
suk036043_hiv_b57_kafs_baseline,,,,,,,SUK036043_HIV_B57_KAFS_baseline,GSM7646246,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646246,NONE,GSE237729,0,SRX21077912,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593039,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077912
suk036043_naive_1yr,,,,,,,SUK036043_Naive_1yr,GSM7646247,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646247,NONE,GSE237729,0,SRX21077913,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593038,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077913
suk036043_naive_baseline,,,,,,,SUK036043_Naive_baseline,GSM7646248,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646248,NONE,GSE237729,0,SRX21077914,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593037,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077914
suw036083_hiv_b53_yplt_baseline,,,,,,,SUW036083_HIV_B53_YPLT_baseline,GSM7646249,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646249,NONE,GSE237729,0,SRX21077915,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593035,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077915
suw036083_naive_baseline,,,,,,,SUW036083_Naive_baseline,GSM7646250,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646250,NONE,GSE237729,0,SRX21077916,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593034,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077916
